q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.436186 1 0.436186 6399750 6399747 0 1
1 31 0.455452 1 0.455452 6399750 6399747 0 1
2 31 0.932649 2 0.466324 12804795 9566986 3237806 0
3 31 1.872914 4 0.468228 25670344 15952837 9717504 0
4 31 2.828586 6 0.471431 38453396 23202018 15251375 0
5 31 3.906884 8 0.488360 51327025 29811899 21515123 0
6 31 4.905880 10 0.490588 64325365 37119665 27205697 0
7 31 6.512001 13 0.500923 84507146 45863951 38643192 0
8 31 8.096629 16 0.506039 104903411 54563703 50339705 0
9 31 9.535835 19 0.501886 123517422 62702155 60815264 0
10 31 11.012242 22 0.500556 142029722 70693117 71336602 0
11 31 13.313903 26 0.512073 170027393 80982221 89045169 0
12 31 15.176118 30 0.505871 195604385 89648792 105955590 0
13 31 17.378152 34 0.511122 224341027 100126884 124214140 0
14 31 18.671623 37 0.504638 242411737 107468458 134943276 0
15 31 20.040293 40 0.501007 264453913 116356373 148097537 0
16 31 24.809208 44 0.563846 322023269 137880992 184142274 0
17 31 23.104456 46 0.502271 302762200 131069652 171692545 0
18 31 31.440994 49 0.641653 410478103 176380631 234097469 0
19 31 25.280547 50 0.505611 341943601 148816949 193126649 0
20 31 34.740462 52 0.668086 473487771 205720052 267767716 0
21 31 27.189081 53 0.513002 367644526 161054437 206590086 0
22 31 33.567770 55 0.610323 440850473 192257106 248593364 0
23 31 28.771016 57 0.504755 390971066 168921302 222049761 0
24 31 33.463378 60 0.557723 459848838 195017529 264831306 0
25 31 30.083423 61 0.493171 408677749 174057539 234620207 0
26 31 31.510662 62 0.508236 418545934 179393168 239152763 0
27 31 32.700420 64 0.510944 435057357 184462862 250594492 0
28 31 75.140230 67 1.121496 974616270 405372895 569243372 0
29 31 34.910601 69 0.505951 454433980 185474039 268959938 0
30 31 35.508411 70 0.507263 468467973 189946503 278521467 0
31 31 35.076010 71 0.494028 466294615 186709264 279585348 0
672.385
