q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.438873 1 0.438873 6399750 6399747 0 1
1 31 0.457526 1 0.457526 6399750 6399747 0 1
2 31 0.936255 2 0.468127 12802115 9569361 3232751 0
3 31 1.887661 4 0.471915 25686763 15973547 9713213 0
4 31 2.875847 6 0.479308 38464729 23179944 15284782 0
5 31 3.904948 8 0.488118 51421696 29868287 21553406 0
6 31 4.934553 10 0.493455 64281342 37112182 27169157 0
7 31 6.430526 13 0.494656 84145104 45568603 38576498 0
8 31 8.034544 16 0.502159 104027232 54094853 49932376 0
9 31 9.474470 19 0.498656 122078797 61797073 60281721 0
10 31 11.121172 22 0.505508 142239600 70866189 71373408 0
11 31 13.096600 26 0.503715 168207007 79953446 88253558 0
12 31 15.171799 30 0.505727 195392588 89615010 105777575 0
13 31 17.325795 34 0.509582 221413478 98596272 122817203 0
14 31 18.781409 37 0.507606 242274668 107328954 134945711 0
15 31 20.488280 40 0.512207 267278454 117700937 149577514 0
16 31 23.837609 44 0.541764 300094885 128288879 171806003 0
17 31 23.588033 46 0.512783 306422896 132651888 173771005 0
18 31 32.902275 49 0.671475 430416379 184889049 245527327 0
19 31 24.089050 50 0.481781 342828628 149258910 193569715 0
20 31 37.179960 52 0.714999 463895896 201632996 262262897 0
21 31 28.938646 53 0.546012 373930155 163731209 210198943 0
22 31 34.503386 55 0.627334 436735247 190534035 246201209 0
23 31 29.262300 57 0.513374 385019419 166474786 218544630 0
24 31 33.154588 60 0.552576 439052710 186239456 252813251 0
25 31 29.934544 61 0.490730 409911848 174456926 235454919 0
26 31 31.785914 62 0.512676 409290413 175219823 234070587 0
27 31 31.975429 64 0.499616 414972913 175316086 239656824 0
28 31 68.736168 67 1.025913 865372817 360786547 504586267 0
29 31 34.552912 69 0.500767 452510452 184688340 267822109 0
30 31 35.795266 70 0.511361 475615106 193097235 282517868 0
31 31 35.468652 71 0.499558 470013989 188400277 281613709 0
671.076
