q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.431048 1 0.431048 6399750 6399747 0 1
1 31 0.444249 1 0.444249 6399750 6399747 0 1
2 31 0.897128 2 0.448564 12804063 9567946 3236114 0
3 31 1.869859 4 0.467465 25709793 15988505 9721285 0
4 31 2.932340 6 0.488723 38663747 23380146 15283598 0
5 31 3.924581 8 0.490573 51314245 29770308 21543934 0
6 31 4.955263 10 0.495526 64190081 37032842 27157236 0
7 31 6.436281 13 0.495099 83649150 45319369 38329778 0
8 31 8.085975 16 0.505373 103936651 54055961 49880687 0
9 31 9.602250 19 0.505382 123020125 62433486 60586636 0
10 31 11.073959 22 0.503362 141549868 70452427 71097438 0
11 31 13.148767 26 0.505722 169280454 80565490 88714961 0
12 31 15.520059 30 0.517335 197914412 91028755 106885654 0
13 31 17.289769 34 0.508523 221795831 98852510 122943318 0
14 31 18.875466 37 0.510148 243026991 107791717 135235271 0
15 31 20.422324 40 0.510558 265336473 116733451 148603019 0
16 31 22.701505 44 0.515943 295133460 126070822 169062635 0
17 31 22.392982 46 0.486804 304734342 131874897 172859442 0
18 31 34.985205 49 0.713984 460758467 198119411 262639053 0
19 31 25.501807 50 0.510036 332558264 144542082 188016179 0
20 31 33.620088 52 0.646540 423271443 183963538 239307902 0
21 31 29.016665 53 0.547484 366804483 160506509 206297971 0
22 31 35.694308 55 0.648987 452605916 197533930 255071983 0
23 31 28.994328 57 0.508672 383786328 165762813 218023512 0
24 31 32.754367 60 0.545906 431309613 182106420 249203190 0
25 31 32.492394 61 0.532662 422421820 179908038 242513779 0
26 31 32.113948 62 0.517967 417448866 178965145 238483718 0
27 31 32.675556 64 0.510556 422592610 178874796 243717811 0
28 31 74.719079 67 1.115210 861453695 359219964 502233728 0
29 31 35.471571 69 0.514081 459000166 187688482 271311681 0
30 31 34.893418 70 0.498477 476997321 193519300 283478018 0
31 31 34.284123 71 0.482875 473310532 189815878 283494651 0
678.225
