q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.436905 1 0.436905 6399750 6399747 0 1
1 31 0.454426 1 0.454426 6399750 6399747 0 1
2 31 0.930356 2 0.465178 12804921 9563911 3241007 0
3 31 1.893835 4 0.473459 25631596 15914072 9717521 0
4 31 2.903456 6 0.483909 38537974 23270597 15267374 0
5 31 3.922093 8 0.490262 51317051 29800559 21516489 0
6 31 4.927745 10 0.492775 64322508 37125295 27197210 0
7 31 6.404674 13 0.492667 84369493 45767354 38602136 0
8 31 7.855951 16 0.490997 103940193 54054155 49886035 0
9 31 9.555880 19 0.502941 122726368 62286649 60439716 0
10 31 11.212426 22 0.509656 142784960 71150061 71634896 0
11 31 13.230201 26 0.508854 169563942 80676533 88887406 0
12 31 15.268530 30 0.508951 195706126 89619392 106086731 0
13 31 17.203825 34 0.505995 222299951 99115234 123184714 0
14 31 18.598491 37 0.502662 242492379 107432217 135060159 0
15 31 20.294183 40 0.507355 263168278 115679515 147488760 0
16 31 23.744604 44 0.539650 305816360 130842703 174973654 0
17 31 23.631323 46 0.513724 312631721 135296902 177334816 0
18 31 32.607663 49 0.665463 410442989 176197641 234245345 0
19 31 26.673411 50 0.533468 334029327 145370385 188658939 0
20 31 33.204989 52 0.638557 428549525 186375492 242174030 0
21 31 29.021795 53 0.547581 367423768 160986820 206436945 0
22 31 34.819470 55 0.633081 441732388 192952184 248780201 0
23 31 28.390873 57 0.498085 374109585 161244197 212865385 0
24 31 33.202193 60 0.553370 434068039 183913912 250154124 0
25 31 32.609325 61 0.534579 421540376 179522685 242017688 0
26 31 32.251643 62 0.520188 413506541 176762206 236744332 0
27 31 33.108120 64 0.517314 428583516 181708707 246874806 0
28 31 74.786246 67 1.116213 1014415543 422837085 591578455 0
29 31 34.878147 69 0.505480 458104075 187242374 270861698 0
30 31 32.779883 70 0.468284 468761392 190574423 278186966 0
31 31 35.900231 71 0.505637 474211491 190051279 284160209 0
676.715
