f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-3 0.226588 60000 2113 2338.611449
1+1E-0.187942 1+1E-3 0.072878 20000 716 779.537150
1+1E-0.546643 1+1E-3 0.073159 20000 740 779.537150
1+1E-0.875664 1+1E-3 0.073021 20000 710 779.537150
1+1E-1.190478 1+1E-3 0.108266 30000 1112 1169.305725
1+1E-1.498346 1+1E-3 0.144166 40000 1445 1559.074300
1+1E-1.802783 1+1E-3 0.144130 40000 1429 1559.074300
1+1E-2.105512 1+1E-3 0.251712 70000 2541 2728.380024
1+1E-2.407391 1+1E-3 0.469464 130000 4626 5066.991474
1+1E-2.708846 1+1E-3 0.396637 110000 3955 4287.454324
1.96015
