q q_max q_time hits q_time/hits 
1 31 0.012856 1 0.012856
2 31 0.011561 2 0.005781
3 31 0.017637 3 0.005879
4 31 0.030271 5 0.006054
5 31 0.038250 6 0.006375
6 31 0.049142 8 0.006143
7 31 0.057735 9 0.006415
8 31 0.069947 11 0.006359
9 31 0.084902 13 0.006531
10 31 0.095588 14 0.006828
11 31 0.112641 16 0.007040
12 31 0.123033 18 0.006835
13 31 0.152990 19 0.008052
14 31 0.146112 21 0.006958
15 31 0.177964 23 0.007738
16 31 0.277903 25 0.011116
17 31 0.189011 26 0.007270
18 31 0.209934 28 0.007498
19 31 0.218076 30 0.007269
20 31 0.226648 32 0.007083
21 31 0.247671 34 0.007284
22 31 0.260551 36 0.007238
23 31 0.356669 38 0.009386
24 31 0.317650 40 0.007941
25 31 0.319936 42 0.007618
26 31 0.422392 44 0.009600
27 31 0.322455 46 0.007010
28 31 0.327267 48 0.006818
29 31 0.388450 50 0.007769
30 31 0.420627 52 0.008089
31 31 0.383820 53 0.007242
6.06998
