q q_max q_time hits q_time/hits 
1 31 0.012846 1 0.012846
2 31 0.012599 2 0.006299
3 31 0.017682 3 0.005894
4 31 0.029735 5 0.005947
5 31 0.037237 6 0.006206
6 31 0.050042 8 0.006255
7 31 0.058606 9 0.006512
8 31 0.071255 11 0.006478
9 31 0.086336 13 0.006641
10 31 0.104185 14 0.007442
11 31 0.112350 16 0.007022
12 31 0.127869 18 0.007104
13 31 0.134728 19 0.007091
14 31 0.146609 21 0.006981
15 31 0.175588 23 0.007634
16 31 0.249757 25 0.009990
17 31 0.184533 26 0.007097
18 31 0.218412 28 0.007800
19 31 0.209147 30 0.006972
20 31 0.232197 32 0.007256
21 31 0.270053 34 0.007943
22 31 0.348792 36 0.009689
23 31 0.277355 38 0.007299
24 31 0.303792 40 0.007595
25 31 0.358733 42 0.008541
26 31 0.306113 44 0.006957
27 31 0.326629 46 0.007101
28 31 0.367791 48 0.007662
29 31 0.369057 50 0.007381
30 31 0.352119 52 0.006772
31 31 0.381985 53 0.007207
5.93433
