q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.753028 1 0.753028 63999254 63999243 0 1
1 31 0.831966 1 0.831966 63999254 63999243 0 1
2 31 1.625823 2 0.812912 128026563 90168165 37858387 0
3 31 2.392569 3 0.797523 192186083 126376704 65809368 0
4 31 4.126803 5 0.825361 322554257 180482730 142071516 0
5 31 5.026700 6 0.837783 385512231 226784120 158728100 0
6 31 6.822388 8 0.852799 518605703 285146639 233459053 0
7 31 7.601965 9 0.844663 580209890 329883986 250325893 0
8 31 9.363711 11 0.851246 714023597 389401731 324621855 0
9 31 11.294732 13 0.868826 846951108 445726318 401224779 0
10 31 12.245866 14 0.874705 912388530 496232683 416155836 0
11 31 14.156712 16 0.884794 1046967485 554577552 492389922 0
12 31 16.225799 18 0.901433 1201768179 623874961 577893207 0
13 31 16.765252 19 0.882382 1241953487 660586779 581366697 0
14 31 19.061433 21 0.907687 1409628217 735765258 673862948 0
15 31 21.538076 23 0.936438 1550344293 795360363 754983919 0
16 31 26.668799 25 1.066752 1989575316 1010162992 979412313 0
17 31 23.704479 26 0.911711 1732619635 889438124 843181500 0
18 31 25.437251 28 0.908473 1866641726 940756670 925885045 0
19 31 28.694307 30 0.956477 2103351683 1044033033 1059318639 0
20 31 31.376713 32 0.980522 2299515420 1125382877 1174132532 0
21 31 33.782751 34 0.993610 2451823558 1180492381 1271331166 0
22 31 35.460648 36 0.985018 2587776740 1226069408 1361707321 0
23 31 36.632265 38 0.964007 2678753824 1248864995 1429888818 0
24 31 43.082257 40 1.077056 3046645457 1395429478 1651215968 0
25 31 39.328838 42 0.936401 2976379202 1337659636 1638719555 0
26 31 40.037165 44 0.909936 3045412679 1341289359 1704123309 0
27 31 42.222391 46 0.917878 3220197671 1389478706 1830718954 0
28 31 43.196255 48 0.899922 3316320783 1395994731 1920326041 0
29 31 44.942925 50 0.898858 3450053300 1414100569 2035952720 0
30 31 43.240483 52 0.831548 3607602999 1436598320 2171004668 0
31 31 44.786985 53 0.845037 3572443798 1400336102 2172107685 0
732.437
