L: 4 | f_final: 8 | flatness: 90
Sat Dec 26 19:43:50 2020 | f: -0.235094/8 | Time elapsed: 0.009076s
Sat Dec 26 19:43:50 2020 | f: 0.187942/8 | Time elapsed: 0.009452s
Sat Dec 26 19:43:50 2020 | f: 0.546643/8 | Time elapsed: 0.009267s
Sat Dec 26 19:43:50 2020 | f: 0.875664/8 | Time elapsed: 0.009730s
Sat Dec 26 19:43:50 2020 | f: 1.190478/8 | Time elapsed: 0.009319s
Sat Dec 26 19:43:50 2020 | f: 1.498346/8 | Time elapsed: 0.009385s
Sat Dec 26 19:43:50 2020 | f: 1.802783/8 | Time elapsed: 0.009895s
Sat Dec 26 19:43:50 2020 | f: 2.105512/8 | Time elapsed: 0.010697s
Sat Dec 26 19:43:50 2020 | f: 2.407391/8 | Time elapsed: 0.018448s
Sat Dec 26 19:43:50 2020 | f: 2.708846/8 | Time elapsed: 0.009521s
Sat Dec 26 19:43:50 2020 | f: 3.010088/8 | Time elapsed: 0.019405s
Sat Dec 26 19:43:50 2020 | f: 3.311224/8 | Time elapsed: 0.018903s
Sat Dec 26 19:43:50 2020 | f: 3.612307/8 | Time elapsed: 0.027733s
Sat Dec 26 19:43:50 2020 | f: 3.913363/8 | Time elapsed: 0.041623s
Sat Dec 26 19:43:50 2020 | f: 4.214407/8 | Time elapsed: 0.019670s
Sat Dec 26 19:43:50 2020 | f: 4.515443/8 | Time elapsed: 0.028079s
Sat Dec 26 19:43:50 2020 | f: 4.816477/8 | Time elapsed: 0.028026s
Sat Dec 26 19:43:50 2020 | f: 5.117508/8 | Time elapsed: 0.019091s
Sat Dec 26 19:43:50 2020 | f: 5.418539/8 | Time elapsed: 0.018942s
Sat Dec 26 19:43:51 2020 | f: 5.719570/8 | Time elapsed: 0.028509s
Sat Dec 26 19:43:51 2020 | f: 6.020600/8 | Time elapsed: 0.037324s
Sat Dec 26 19:43:51 2020 | f: 6.321630/8 | Time elapsed: 0.037247s
Sat Dec 26 19:43:51 2020 | f: 6.622660/8 | Time elapsed: 0.037933s
Sat Dec 26 19:43:51 2020 | f: 6.923690/8 | Time elapsed: 0.010502s
Sat Dec 26 19:43:51 2020 | f: 7.224720/8 | Time elapsed: 0.018614s
Sat Dec 26 19:43:51 2020 | f: 7.525750/8 | Time elapsed: 0.056328s
Sat Dec 26 19:43:51 2020 | f: 7.826780/8 | Time elapsed: 0.149880s
