q q_max q_time hits q_time/hits 
1 31 0.012156 1 0.012156
2 31 0.011132 2 0.005566
3 31 0.017209 3 0.005736
4 31 0.030618 5 0.006124
5 31 0.041311 6 0.006885
6 31 0.051052 8 0.006382
7 31 0.057669 9 0.006408
8 31 0.070454 11 0.006405
9 31 0.085634 13 0.006587
10 31 0.096044 14 0.006860
11 31 0.110503 16 0.006906
12 31 0.123710 18 0.006873
13 31 0.132243 19 0.006960
14 31 0.147014 21 0.007001
15 31 0.204401 23 0.008887
16 31 0.269807 25 0.010792
17 31 0.189057 26 0.007271
18 31 0.209163 28 0.007470
19 31 0.216917 30 0.007231
20 31 0.234925 32 0.007341
21 31 0.284107 34 0.008356
22 31 0.272562 36 0.007571
23 31 0.321709 38 0.008466
24 31 0.291766 40 0.007294
25 31 0.339337 42 0.008079
26 31 0.343748 44 0.007812
27 31 0.335327 46 0.007290
28 31 0.386757 48 0.008057
29 31 0.347518 50 0.006950
30 31 0.376883 52 0.007248
31 31 0.380108 53 0.007172
5.99101
