run: 76 | L: 4 | f_final: 1+1E-8 | flatness: 90 | dim: 2D | lattice: SS
Fri Jun 18 15:17:08 2021 | f: 1+1E0.235094/1+1E-8 | sweeps: 10000 | flat time: 0.005658s
Fri Jun 18 15:17:08 2021 | f: 1+1E-0.187942/1+1E-8 | sweeps: 10000 | flat time: 0.005924s
Fri Jun 18 15:17:08 2021 | f: 1+1E-0.546643/1+1E-8 | sweeps: 10000 | flat time: 0.006487s
Fri Jun 18 15:17:08 2021 | f: 1+1E-0.875664/1+1E-8 | sweeps: 10000 | flat time: 0.006196s
Fri Jun 18 15:17:08 2021 | f: 1+1E-1.190478/1+1E-8 | sweeps: 10000 | flat time: 0.006369s
Fri Jun 18 15:17:08 2021 | f: 1+1E-1.498346/1+1E-8 | sweeps: 10000 | flat time: 0.006273s
Fri Jun 18 15:17:08 2021 | f: 1+1E-1.802783/1+1E-8 | sweeps: 10000 | flat time: 0.006405s
Fri Jun 18 15:17:08 2021 | f: 1+1E-2.105512/1+1E-8 | sweeps: 10000 | flat time: 0.006199s
Fri Jun 18 15:17:08 2021 | f: 1+1E-2.407391/1+1E-8 | sweeps: 10000 | flat time: 0.006204s
Fri Jun 18 15:17:08 2021 | f: 1+1E-2.708846/1+1E-8 | sweeps: 20000 | flat time: 0.012526s
Fri Jun 18 15:17:08 2021 | f: 1+1E-3.010088/1+1E-8 | sweeps: 20000 | flat time: 0.012524s
Fri Jun 18 15:17:08 2021 | f: 1+1E-3.311224/1+1E-8 | sweeps: 30000 | flat time: 0.019458s
Fri Jun 18 15:17:08 2021 | f: 1+1E-3.612307/1+1E-8 | sweeps: 20000 | flat time: 0.012311s
Fri Jun 18 15:17:08 2021 | f: 1+1E-3.913363/1+1E-8 | sweeps: 10000 | flat time: 0.006163s
Fri Jun 18 15:17:08 2021 | f: 1+1E-4.214407/1+1E-8 | sweeps: 40000 | flat time: 0.024933s
Fri Jun 18 15:17:08 2021 | f: 1+1E-4.515443/1+1E-8 | sweeps: 20000 | flat time: 0.012066s
Fri Jun 18 15:17:08 2021 | f: 1+1E-4.816477/1+1E-8 | sweeps: 20000 | flat time: 0.012326s
Fri Jun 18 15:17:08 2021 | f: 1+1E-5.117508/1+1E-8 | sweeps: 70000 | flat time: 0.043715s
Fri Jun 18 15:17:08 2021 | f: 1+1E-5.418539/1+1E-8 | sweeps: 30000 | flat time: 0.019592s
Fri Jun 18 15:17:08 2021 | f: 1+1E-5.719570/1+1E-8 | sweeps: 30000 | flat time: 0.020032s
Fri Jun 18 15:17:08 2021 | f: 1+1E-6.020600/1+1E-8 | sweeps: 10000 | flat time: 0.006097s
Fri Jun 18 15:17:08 2021 | f: 1+1E-6.321630/1+1E-8 | sweeps: 20000 | flat time: 0.012181s
Fri Jun 18 15:17:08 2021 | f: 1+1E-6.622660/1+1E-8 | sweeps: 60000 | flat time: 0.041166s
Fri Jun 18 15:17:08 2021 | f: 1+1E-6.923690/1+1E-8 | sweeps: 70000 | flat time: 0.043845s
Fri Jun 18 15:17:08 2021 | f: 1+1E-7.224720/1+1E-8 | sweeps: 50000 | flat time: 0.033025s
Fri Jun 18 15:17:08 2021 | f: 1+1E-7.525750/1+1E-8 | sweeps: 50000 | flat time: 0.031221s
Fri Jun 18 15:17:08 2021 | f: 1+1E-7.826780/1+1E-8 | sweeps: 20000 | flat time: 0.012159s
