f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-7 0.005576 10000 1974 2000.000000
1+1E-0.187942 1+1E-7 0.005665 10000 1986 2000.000000
1+1E-0.546643 1+1E-7 0.005947 10000 1986 2000.000000
1+1E-0.875664 1+1E-7 0.005995 10000 1967 2000.000000
1+1E-1.190478 1+1E-7 0.005849 10000 1963 2000.000000
1+1E-1.498346 1+1E-7 0.005858 10000 1920 2000.000000
1+1E-1.802783 1+1E-7 0.005795 10000 1957 2000.000000
1+1E-2.105512 1+1E-7 0.005776 10000 1929 2000.000000
1+1E-2.407391 1+1E-7 0.005809 10000 1801 2000.000000
1+1E-2.708846 1+1E-7 0.011486 20000 3834 4000.000000
1+1E-3.010088 1+1E-7 0.017208 30000 5438 6000.000000
1+1E-3.311224 1+1E-7 0.017634 30000 5491 6000.000000
1+1E-3.612307 1+1E-7 0.018258 30000 5577 6000.000000
1+1E-3.913363 1+1E-7 0.029508 50000 9046 10000.000000
1+1E-4.214407 1+1E-7 0.023709 40000 7347 8000.000000
1+1E-4.515443 1+1E-7 0.011950 20000 3650 4000.000000
1+1E-4.816477 1+1E-7 0.017861 30000 5603 6000.000000
1+1E-5.117508 1+1E-7 0.011498 20000 3697 4000.000000
1+1E-5.418539 1+1E-7 0.023037 40000 7307 8000.000000
1+1E-5.719570 1+1E-7 0.017175 30000 5462 6000.000000
1+1E-6.020600 1+1E-7 0.034504 60000 11156 12000.000000
1+1E-6.321630 1+1E-7 0.005749 10000 1816 2000.000000
1+1E-6.622660 1+1E-7 0.041454 70000 12631 14000.000000
1+1E-6.923690 1+1E-7 0.023594 40000 7438 8000.000000
0.357075
