q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.722143 1 0.722143 63998430 63998415 0 1
1 31 0.791749 1 0.791749 63998430 63998415 0 1
2 31 1.602261 2 0.801130 128036051 92912146 35123890 0
3 31 2.418734 3 0.806245 192098363 134479463 57618885 0
4 31 4.120633 5 0.824127 321464627 196352683 125111929 0
5 31 4.993981 6 0.832330 384513388 249807466 134705907 0
6 31 6.726591 8 0.840824 514896589 312143282 202753292 0
7 31 8.516119 10 0.851612 646749640 378491515 268258110 0
8 31 10.198739 12 0.849895 785120718 448944570 336176133 0
9 31 11.964594 14 0.854614 905641151 511065412 394575724 0
10 31 13.797203 16 0.862325 1033960366 575934861 458025490 0
11 31 15.487505 18 0.860417 1165077728 644397652 520680061 0
12 31 18.002224 21 0.857249 1374660915 726870823 647790077 0
13 31 19.728842 23 0.857776 1500537767 794192944 706344808 0
14 31 22.185698 26 0.853296 1699588877 872368059 827220803 0
15 31 24.018600 28 0.857807 1832845095 942748626 890096454 0
16 31 27.083435 31 0.873659 2061043648 1033786978 1027256655 0
17 31 28.287954 34 0.831999 2274906223 1119565633 1155340575 0
18 31 30.032847 36 0.834246 2377607999 1171860352 1205747632 0
19 31 31.948046 38 0.840738 2510739403 1236868266 1273871122 0
20 31 35.338119 41 0.861905 2758611982 1329367713 1429244254 0
21 31 36.399752 43 0.846506 2833305682 1363613908 1469691759 0
22 31 38.981988 46 0.847435 3032076281 1426692664 1605383602 0
23 31 41.808962 49 0.853244 3252162509 1498758334 1753404160 0
24 31 43.909149 52 0.844407 3459826236 1559554403 1900271818 0
25 31 46.092003 55 0.838036 3665341927 1617806812 2047535100 0
26 31 47.717931 58 0.822723 3841581198 1657736484 2183844699 0
27 31 49.695912 61 0.814687 4015904509 1692404179 2323500315 0
28 31 55.947324 65 0.860728 4384079067 1776476608 2607602444 0
29 31 55.231224 67 0.824347 4417659014 1765908467 2651750532 0
30 31 56.364635 69 0.816879 4548258875 1787183658 2761075202 0
31 31 57.323462 71 0.807373 4704909798 1807786886 2897122897 0
847.445
