run: 4 | L: 4 | f_final: 1+1E-5 | flatness: 70 | dim: 2D | lattice: SS
Fri Jun 18 15:08:35 2021 | f: 1+1E0.235094/1+1E-5 | sweeps: 10000 | flat time: 0.005468s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.187942/1+1E-5 | sweeps: 10000 | flat time: 0.005576s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.546643/1+1E-5 | sweeps: 10000 | flat time: 0.005826s
Fri Jun 18 15:08:35 2021 | f: 1+1E-0.875664/1+1E-5 | sweeps: 10000 | flat time: 0.005939s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.190478/1+1E-5 | sweeps: 10000 | flat time: 0.006005s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.498346/1+1E-5 | sweeps: 10000 | flat time: 0.006026s
Fri Jun 18 15:08:35 2021 | f: 1+1E-1.802783/1+1E-5 | sweeps: 10000 | flat time: 0.005954s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.105512/1+1E-5 | sweeps: 10000 | flat time: 0.005902s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.407391/1+1E-5 | sweeps: 10000 | flat time: 0.005934s
Fri Jun 18 15:08:35 2021 | f: 1+1E-2.708846/1+1E-5 | sweeps: 10000 | flat time: 0.005940s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.010088/1+1E-5 | sweeps: 10000 | flat time: 0.005918s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.311224/1+1E-5 | sweeps: 10000 | flat time: 0.005912s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.612307/1+1E-5 | sweeps: 10000 | flat time: 0.005758s
Fri Jun 18 15:08:35 2021 | f: 1+1E-3.913363/1+1E-5 | sweeps: 10000 | flat time: 0.005768s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.214407/1+1E-5 | sweeps: 10000 | flat time: 0.005770s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.515443/1+1E-5 | sweeps: 10000 | flat time: 0.005803s
Fri Jun 18 15:08:35 2021 | f: 1+1E-4.816477/1+1E-5 | sweeps: 20000 | flat time: 0.011655s
