q q_max q_time hits q_time/hits k 
1 31 0.077098 1 0.077098 639937
2 31 0.146293 2 0.073147 1283649
3 31 0.204084 3 0.068028 1925249
4 31 0.352247 5 0.070449 3209281
5 31 0.437642 6 0.072940 3901953
6 31 0.602756 8 0.075344 5310273
7 31 0.693936 9 0.077104 6013697
8 31 0.848699 11 0.077154 7214465
9 31 1.081137 13 0.083164 9020865
10 31 1.130850 14 0.080775 9238465
11 31 1.319329 16 0.082458 10610241
12 31 1.637546 18 0.090975 13073345
13 31 1.591959 19 0.083787 12472193
14 31 1.770648 21 0.084317 13700737
15 31 1.971670 23 0.085725 15078145
16 31 2.183410 25 0.087336 16520001
17 31 2.286511 26 0.087943 16994625
18 31 2.500182 28 0.089292 18364225
19 31 3.065240 30 0.102175 22495873
20 31 2.930603 32 0.091581 21211009
21 31 3.195305 34 0.093980 22831489
22 31 3.411069 36 0.094752 24086081
23 31 3.637772 38 0.095731 25538881
24 31 3.849607 40 0.096240 26936705
25 31 4.060195 42 0.096671 27788545
26 31 4.612873 44 0.104838 30588673
27 31 4.750966 46 0.103282 31791809
28 31 4.747520 48 0.098907 31814721
29 31 5.176509 50 0.103530 33840897
30 31 5.511060 52 0.105982 35610113
31 31 5.268106 53 0.099398 34855873
75.0531
