q q_max q_time hits q_time/hits k 
1 31 0.075998 1 0.075998 639937
2 31 0.144138 2 0.072069 1296385
3 31 0.206745 3 0.068915 1946945
4 31 0.354197 5 0.070839 3261761
5 31 0.438231 6 0.073038 3919361
6 31 0.594633 8 0.074329 5183233
7 31 0.688132 9 0.076459 5926529
8 31 0.844285 11 0.076753 7185793
9 31 1.074467 13 0.082651 8965249
10 31 1.124544 14 0.080325 9187137
11 31 1.299477 16 0.081217 10451841
12 31 1.487290 18 0.082627 11799233
13 31 1.578750 19 0.083092 12381313
14 31 1.823076 21 0.086813 14024193
15 31 2.131901 23 0.092691 16429313
16 31 2.179463 25 0.087179 16532161
17 31 2.352496 26 0.090481 17487553
18 31 2.515073 28 0.089824 18430017
19 31 2.705876 30 0.090196 19767169
20 31 3.014793 32 0.094212 21830721
21 31 3.237356 34 0.095216 23152385
22 31 3.339535 36 0.092765 23718977
23 31 3.724080 38 0.098002 26217153
24 31 4.436314 40 0.110908 31427713
25 31 4.156524 42 0.098965 28222081
26 31 4.539331 44 0.103167 30429505
27 31 4.553165 46 0.098982 31118081
28 31 4.690931 48 0.097728 31649089
29 31 4.953636 50 0.099073 32940289
30 31 5.108706 52 0.098244 34526401
31 31 5.726213 53 0.108042 37705857
75.0996
