q q_max q_time hits q_time/hits k 
1 31 0.070340 1 0.070340 639937
2 31 0.130297 2 0.065148 1284481
3 31 0.201815 3 0.067272 1920641
4 31 0.350066 5 0.070013 3231105
5 31 0.434741 6 0.072457 3884929
6 31 0.595948 8 0.074493 5232385
7 31 0.680919 9 0.075658 5902593
8 31 0.844116 11 0.076738 7191489
9 31 1.025023 13 0.078848 8502977
10 31 1.125972 14 0.080427 9221633
11 31 1.302986 16 0.081437 10500481
12 31 1.484396 18 0.082466 11788353
13 31 1.598978 19 0.084157 12533569
14 31 1.783114 21 0.084910 13783361
15 31 1.984047 23 0.086263 15230465
16 31 2.786211 25 0.111448 21489409
17 31 2.302083 26 0.088542 17272385
18 31 2.487292 28 0.088832 18377089
19 31 2.729135 30 0.090971 19992321
20 31 2.900603 32 0.090644 20864513
21 31 3.141756 34 0.092405 22518145
22 31 3.669593 36 0.101933 26137473
23 31 3.562396 38 0.093747 25007233
24 31 3.838982 40 0.095975 26913217
25 31 3.990072 42 0.095002 27509569
26 31 4.341674 44 0.098674 28961345
27 31 4.621705 46 0.100472 31397441
28 31 4.719536 48 0.098324 31658241
29 31 4.950372 50 0.099007 32992321
30 31 5.731196 52 0.110215 37212481
31 31 5.781713 53 0.109089 37504193
75.1674
