q q_max q_time hits q_time/hits k 
1 31 0.071185 1 0.071185 639937
2 31 0.135070 2 0.067535 1281729
3 31 0.205766 3 0.068589 1954561
4 31 0.358022 5 0.071604 3309569
5 31 0.437424 6 0.072904 3868993
6 31 0.589300 8 0.073662 5200129
7 31 0.685787 9 0.076199 5902273
8 31 0.848654 11 0.077150 7187649
9 31 1.049480 13 0.080729 8739265
10 31 1.120091 14 0.080006 9170049
11 31 1.341094 16 0.083818 10846849
12 31 1.646721 18 0.091484 11713025
13 31 1.611295 19 0.084805 12494337
14 31 1.858553 21 0.088503 14379201
15 31 1.962192 23 0.085313 15137345
16 31 3.018225 25 0.120729 23692801
17 31 2.296974 26 0.088345 17298753
18 31 2.535510 28 0.090554 18708673
19 31 2.680591 30 0.089353 19817537
20 31 2.868583 32 0.089643 20971329
21 31 3.218568 34 0.094664 23445249
22 31 3.268737 36 0.090798 23624385
23 31 3.569579 38 0.093936 25620673
24 31 4.896643 40 0.122416 26524673
25 31 4.686523 42 0.111584 29149697
26 31 4.255373 44 0.096713 29118721
27 31 4.637396 46 0.100813 31623297
28 31 5.231381 48 0.108987 32227585
29 31 4.842197 50 0.096844 33239425
30 31 5.715463 52 0.109913 39133441
31 31 5.213369 53 0.098365 36080001
76.8561
