q q_max q_time hits q_time/hits k 
1 31 0.070065 1 0.070065 639937
2 31 0.132049 2 0.066024 1281409
3 31 0.202378 3 0.067459 1929729
4 31 0.355273 5 0.071055 3256449
5 31 0.441463 6 0.073577 3977281
6 31 0.589262 8 0.073658 5207041
7 31 0.678343 9 0.075371 5820033
8 31 0.840194 11 0.076381 7158145
9 31 1.092639 13 0.084049 9163649
10 31 1.113714 14 0.079551 9111745
11 31 1.394450 16 0.087153 10507073
12 31 1.496593 18 0.083144 11934401
13 31 1.590365 19 0.083703 12478785
14 31 1.793182 21 0.085390 13972609
15 31 1.960479 23 0.085238 15110849
16 31 2.165627 25 0.086625 16644737
17 31 2.377796 26 0.091454 17843649
18 31 2.473316 28 0.088333 18457409
19 31 2.765612 30 0.092187 20549249
20 31 2.941927 32 0.091935 21508353
21 31 3.123973 34 0.091882 22692993
22 31 3.449183 36 0.095811 25095041
23 31 3.567555 38 0.093883 25745217
24 31 3.608476 40 0.090212 26111425
25 31 3.990242 42 0.095006 27734849
26 31 4.408786 44 0.100200 30259585
27 31 4.372509 46 0.095055 30150081
28 31 4.712349 48 0.098174 31839489
29 31 4.818017 50 0.096360 33635969
30 31 5.123100 52 0.098521 34830721
31 31 5.391788 53 0.101732 36898241
73.041
