q q_max q_time hits q_time/hits k 
1 31 0.081345 1 0.081345 639937
2 31 0.169895 2 0.084947 1281089
3 31 0.252084 3 0.084028 1949121
4 31 0.394555 5 0.078911 3248065
5 31 0.442493 6 0.073749 3911105
6 31 0.588273 8 0.073534 5164225
7 31 0.670581 9 0.074509 5794049
8 31 0.859915 11 0.078174 7134401
9 31 1.020570 13 0.078505 8505665
10 31 1.123138 14 0.080224 9183105
11 31 1.371768 16 0.085735 11127297
12 31 1.587768 18 0.088209 12748993
13 31 1.577380 19 0.083020 12426177
14 31 1.772055 21 0.084384 13821505
15 31 2.042493 23 0.088804 15792897
16 31 2.176111 25 0.087044 16674689
17 31 2.320632 26 0.089255 17530305
18 31 2.484711 28 0.088740 18521345
19 31 2.720872 30 0.090696 20084801
20 31 2.853965 32 0.089186 21041921
21 31 3.237333 34 0.095216 23813825
22 31 3.387207 36 0.094089 24392577
23 31 3.726957 38 0.098078 26947905
24 31 4.199299 40 0.104982 30852545
25 31 4.092608 42 0.097443 29321985
26 31 4.117650 44 0.093583 29054209
27 31 4.535442 46 0.098597 30904001
28 31 4.810008 48 0.100208 32943233
29 31 4.856473 50 0.097129 33471105
30 31 5.111100 52 0.098290 35382273
31 31 5.401791 53 0.101921 36693121
73.9867
