q q_max q_time hits q_time/hits k 
1 31 0.069509 1 0.069509 639937
2 31 0.137654 2 0.068827 1290945
3 31 0.202809 3 0.067603 1931841
4 31 0.350781 5 0.070156 3242689
5 31 0.440695 6 0.073449 3925185
6 31 0.588743 8 0.073593 5196673
7 31 0.682775 9 0.075864 5929153
8 31 0.882270 11 0.080206 7536129
9 31 1.025490 13 0.078884 8548673
10 31 1.126205 14 0.080443 9245569
11 31 1.395842 16 0.087240 11351553
12 31 1.771740 18 0.098430 14373825
13 31 1.584282 19 0.083383 12471489
14 31 1.788993 21 0.085190 13925057
15 31 1.975868 23 0.085907 15306561
16 31 2.155874 25 0.086235 16506241
17 31 2.329766 26 0.089606 17208449
18 31 2.538897 28 0.090675 18879169
19 31 2.671995 30 0.089066 19725633
20 31 2.896035 32 0.090501 21136129
21 31 3.173740 34 0.093345 23187777
22 31 3.314604 36 0.092072 23862913
23 31 3.697602 38 0.097305 26574145
24 31 3.802040 40 0.095051 27533057
25 31 4.134643 42 0.098444 29077121
26 31 4.199606 44 0.095446 29868737
27 31 4.564142 46 0.099220 31075329
28 31 5.023328 48 0.104653 34309185
29 31 4.892771 50 0.097855 33705793
30 31 5.230206 52 0.100581 35598913
31 31 5.580156 53 0.105286 37991873
74.2292
