q q_max q_time hits q_time/hits k 
1 31 0.069840 1 0.069840 639937
2 31 0.140772 2 0.070386 1296065
3 31 0.204441 3 0.068147 1933825
4 31 0.355016 5 0.071003 3264321
5 31 0.437739 6 0.072956 3911425
6 31 0.590831 8 0.073854 5201345
7 31 0.683515 9 0.075946 5890881
8 31 0.849387 11 0.077217 7210177
9 31 1.158220 13 0.089094 9675521
10 31 1.143449 14 0.081675 9402753
11 31 1.298903 16 0.081181 10498753
12 31 1.548838 18 0.086047 12361537
13 31 1.588148 19 0.083587 12484737
14 31 1.773979 21 0.084475 13844353
15 31 1.955588 23 0.085026 15073409
16 31 2.149389 25 0.085976 16429185
17 31 2.266805 26 0.087185 17026113
18 31 2.470434 28 0.088230 18317121
19 31 2.756396 30 0.091880 20433409
20 31 2.864908 32 0.089528 20926273
21 31 3.158234 34 0.092889 23048257
22 31 3.297262 36 0.091591 23836865
23 31 3.491662 38 0.091886 25177857
24 31 3.657591 40 0.091440 26246529
25 31 4.060265 42 0.096673 28247873
26 31 4.494576 44 0.102149 30998081
27 31 4.408817 46 0.095844 30412161
28 31 4.559356 48 0.094987 31707457
29 31 4.785081 50 0.095702 33015361
30 31 5.038598 52 0.096896 35029057
31 31 5.545399 53 0.104630 38077249
72.8036
