q q_max q_time hits q_time/hits k 
1 31 0.071718 1 0.071718 639937
2 31 0.137589 2 0.068794 1294081
3 31 0.202012 3 0.067337 1924033
4 31 0.349163 5 0.069833 3215617
5 31 0.436800 6 0.072800 3895809
6 31 0.599798 8 0.074975 5311425
7 31 0.675813 9 0.075090 5854977
8 31 0.887835 11 0.080712 7481409
9 31 1.073939 13 0.082611 8989505
10 31 1.115939 14 0.079710 9166593
11 31 1.304437 16 0.081527 10429889
12 31 1.498255 18 0.083236 11978945
13 31 1.591900 19 0.083784 12356097
14 31 1.758327 21 0.083730 13704001
15 31 2.095935 23 0.091128 16245505
16 31 2.214012 25 0.088560 17068161
17 31 2.391333 26 0.091974 17979841
18 31 2.549530 28 0.091055 19049793
19 31 2.746307 30 0.091544 20411265
20 31 2.837896 32 0.088684 21001025
21 31 3.102725 34 0.091257 22730817
22 31 3.269682 36 0.090825 23650817
23 31 3.707009 38 0.097553 26591745
24 31 3.914306 40 0.097858 28297601
25 31 3.923470 42 0.093416 27821761
26 31 4.327455 44 0.098351 30162305
27 31 4.379757 46 0.095212 30673537
28 31 5.168027 48 0.107667 34148481
29 31 5.081904 50 0.101638 34726977
30 31 5.018251 52 0.096505 34956545
31 31 5.363539 53 0.101199 36462273
73.7949
