q q_max q_time hits q_time/hits k 
1 31 0.070700 1 0.070700 639937
2 31 0.135905 2 0.067952 1289665
3 31 0.206438 3 0.068813 1961729
4 31 0.351110 5 0.070222 3232257
5 31 0.434897 6 0.072483 3907009
6 31 0.589183 8 0.073648 5182401
7 31 0.684457 9 0.076051 5878785
8 31 0.858206 11 0.078019 7310593
9 31 1.042250 13 0.080173 8557377
10 31 1.130866 14 0.080776 9262401
11 31 1.327476 16 0.082967 10710913
12 31 1.484058 18 0.082448 11808705
13 31 1.595259 19 0.083961 12567041
14 31 1.803106 21 0.085862 14080449
15 31 2.090038 23 0.090871 16229313
16 31 2.188532 25 0.087541 16763201
17 31 2.363366 26 0.090899 17622657
18 31 2.730576 28 0.097521 20486145
19 31 2.809782 30 0.093659 20963137
20 31 2.874267 32 0.089821 20977281
21 31 3.071162 34 0.090328 22158337
22 31 3.274255 36 0.090952 23619777
23 31 3.497904 38 0.092050 25227713
24 31 3.715669 40 0.092892 26734721
25 31 4.300138 42 0.102384 29403777
26 31 4.123982 44 0.093727 29008065
27 31 4.490602 46 0.097622 30563521
28 31 5.159785 48 0.107496 34992769
29 31 4.846543 50 0.096931 33966401
30 31 4.940638 52 0.095012 34283777
31 31 5.358824 53 0.101110 36360321
73.5502
