q q_max q_time hits q_time/hits k 
1 31 0.072208 1 0.072208 639937
2 31 0.136546 2 0.068273 1287041
3 31 0.203232 3 0.067744 1932929
4 31 0.351654 5 0.070331 3239681
5 31 0.434949 6 0.072492 3897665
6 31 0.604263 8 0.075533 5377025
7 31 0.675800 9 0.075089 5838785
8 31 0.861734 11 0.078339 7378305
9 31 1.027246 13 0.079019 8569345
10 31 1.144726 14 0.081766 9436609
11 31 1.300589 16 0.081287 10505217
12 31 1.464792 18 0.081377 11693185
13 31 1.580476 19 0.083183 12472129
14 31 1.777965 21 0.084665 13914113
15 31 2.021874 23 0.087908 15682049
16 31 2.149956 25 0.085998 16460033
17 31 2.299095 26 0.088427 17326785
18 31 2.469203 28 0.088186 18383937
19 31 2.670753 30 0.089025 19747265
20 31 3.021866 32 0.094433 22285057
21 31 3.162989 34 0.093029 22947905
22 31 3.460925 36 0.096137 25192577
23 31 3.642480 38 0.095855 26413825
24 31 3.689997 40 0.092250 26469185
25 31 3.864341 42 0.092008 27453697
26 31 4.268818 44 0.097019 29694017
27 31 4.569676 46 0.099341 31398977
28 31 4.947928 48 0.103082 34154369
29 31 4.846101 50 0.096922 33528897
30 31 5.425364 52 0.104334 37107585
31 31 5.042435 53 0.095140 34797761
73.1902
