f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-4 0.005575 10000 1953 2000.000000
1+1E-0.187942 1+1E-4 0.005563 10000 1983 2000.000000
1+1E-0.546643 1+1E-4 0.005756 10000 1964 2000.000000
1+1E-0.875664 1+1E-4 0.005874 10000 1969 2000.000000
1+1E-1.190478 1+1E-4 0.005845 10000 1959 2000.000000
1+1E-1.498346 1+1E-4 0.005846 10000 1969 2000.000000
1+1E-1.802783 1+1E-4 0.005814 10000 1941 2000.000000
1+1E-2.105512 1+1E-4 0.005776 10000 1940 2000.000000
1+1E-2.407391 1+1E-4 0.005767 10000 1870 2000.000000
1+1E-2.708846 1+1E-4 0.005753 10000 1800 2000.000000
1+1E-3.010088 1+1E-4 0.005766 10000 1814 2000.000000
1+1E-3.311224 1+1E-4 0.011500 20000 3699 4000.000000
1+1E-3.612307 1+1E-4 0.017275 30000 5454 6000.000000
1+1E-3.913363 1+1E-4 0.059073 100000 18195 20000.000000
0.15127
