f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-10 0.299295 80000 2892 3118.148599
1+1E-0.187942 1+1E-10 0.109929 30000 1100 1169.305725
1+1E-0.546643 1+1E-10 0.073602 20000 721 779.537150
1+1E-0.875664 1+1E-10 0.110488 30000 1059 1169.305725
1+1E-1.190478 1+1E-10 0.072804 20000 710 779.537150
1+1E-1.498346 1+1E-10 0.181999 50000 1802 1948.842875
1+1E-1.802783 1+1E-10 0.255170 70000 2511 2728.380024
1+1E-2.105512 1+1E-10 0.327752 90000 3240 3507.917174
1+1E-2.407391 1+1E-10 0.327284 90000 3247 3507.917174
1+1E-2.708846 1+1E-10 0.582567 160000 5621 6236.297199
1+1E-3.010088 1+1E-10 0.873684 240000 8510 9354.445798
1+1E-3.311224 1+1E-10 0.800829 220000 7733 8574.908648
1+1E-3.612307 1+1E-10 2.477100 680000 23964 26504.263094
1+1E-3.913363 1+1E-10 2.367164 650000 22833 25334.957369
1+1E-4.214407 1+1E-10 3.204388 880000 31054 34299.634592
1+1E-4.515443 1+1E-10 3.278338 900000 31794 35079.171742
1+1E-4.816477 1+1E-10 5.609464 1540000 54378 60024.360536
1+1E-5.117508 1+1E-10 2.148793 590000 20750 22996.345920
1+1E-5.418539 1+1E-10 2.183354 600000 21067 23386.114495
1+1E-5.719570 1+1E-10 6.374607 1750000 61423 68209.500609
1+1E-6.020600 1+1E-10 5.900643 1620000 57189 63142.509135
1+1E-6.321630 1+1E-10 9.689452 2660000 94024 103678.440926
1+1E-6.622660 1+1E-10 4.478564 1230000 43287 47941.534714
1+1E-6.923690 1+1E-10 2.475522 680000 23925 26504.263094
1+1E-7.224720 1+1E-10 12.327389 3390000 119452 132131.546894
1+1E-7.525750 1+1E-10 14.937652 4120000 144543 160584.652862
1+1E-7.826780 1+1E-10 7.345518 2030000 71310 79123.020706
1+1E-8.127810 1+1E-10 6.434999 1780000 62481 69378.806334
1+1E-8.428840 1+1E-10 2.928455 810000 28804 31571.254568
1+1E-8.729870 1+1E-10 7.664733 2120000 74438 82630.937881
1+1E-9.030900 1+1E-10 6.216872 1720000 60385 67040.194884
1+1E-9.331930 1+1E-10 5.784355 1600000 56285 62362.971985
1+1E-9.632960 1+1E-10 2.123601 590000 20813 22996.345920
1+1E-9.933990 1+1E-10 14.911795 3580000 126015 139537.149817
134.878
