f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 0.022603 40000 45 50.000000
1+1E-0.187942 1+1E-6 0.017364 30000 34 37.500000
1+1E-0.546643 1+1E-6 0.035270 60000 69 75.000000
1+1E-0.875664 1+1E-6 0.035271 60000 68 75.000000
1+1E-1.190478 1+1E-6 0.071474 120000 142 150.000000
1+1E-1.498346 1+1E-6 0.094996 160000 182 200.000000
1+1E-1.802783 1+1E-6 0.125102 210000 239 262.500000
1+1E-2.105512 1+1E-6 0.158569 270000 305 337.500000
1+1E-2.407391 1+1E-6 0.118206 200000 225 250.000000
1+1E-2.708846 1+1E-6 0.191803 320000 361 400.000000
1+1E-3.010088 1+1E-6 0.306633 520000 594 650.000000
1+1E-3.311224 1+1E-6 0.304377 520000 585 650.000000
1+1E-3.612307 1+1E-6 0.259773 430000 487 537.500000
1+1E-3.913363 1+1E-6 0.195169 320000 363 400.000000
1+1E-4.214407 1+1E-6 0.182955 310000 349 387.500000
1+1E-4.515443 1+1E-6 0.194642 330000 373 412.500000
1+1E-4.816477 1+1E-6 0.249715 410000 465 512.500000
1+1E-5.117508 1+1E-6 0.265703 450000 508 562.500000
1+1E-5.418539 1+1E-6 0.539686 910000 1024 1137.500000
1+1E-5.719570 1+1E-6 0.207563 350000 395 437.500000
3.57732
