f f_max loop_dur mc_sweeps min_h avg_h 
1+1E0.235094 1+1E-6 0.028587 50000 57 62.500000
1+1E-0.187942 1+1E-6 0.023737 40000 46 50.000000
1+1E-0.546643 1+1E-6 0.036614 60000 69 75.000000
1+1E-0.875664 1+1E-6 0.041434 70000 80 87.500000
1+1E-1.190478 1+1E-6 0.047284 80000 91 100.000000
1+1E-1.498346 1+1E-6 0.088109 150000 170 187.500000
1+1E-1.802783 1+1E-6 0.099652 170000 192 212.500000
1+1E-2.105512 1+1E-6 0.163401 280000 317 350.000000
1+1E-2.407391 1+1E-6 0.247009 420000 474 525.000000
1+1E-2.708846 1+1E-6 0.196113 330000 372 412.500000
1+1E-3.010088 1+1E-6 0.373280 630000 712 787.500000
1+1E-3.311224 1+1E-6 0.357900 610000 688 762.500000
1+1E-3.612307 1+1E-6 0.245944 420000 473 525.000000
1+1E-3.913363 1+1E-6 0.363198 600000 676 750.000000
1+1E-4.214407 1+1E-6 0.214767 360000 411 450.000000
1+1E-4.515443 1+1E-6 0.280460 460000 519 575.000000
1+1E-4.816477 1+1E-6 0.151876 250000 282 312.500000
1+1E-5.117508 1+1E-6 0.332670 550000 620 687.500000
1+1E-5.418539 1+1E-6 0.460580 770000 867 962.500000
1+1E-5.719570 1+1E-6 0.337342 570000 645 712.500000
4.09028
