q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.074350 1 0.074350 6398678 6398667 0 1
1 31 0.082399 1 0.082399 6398678 6398667 0 1
2 31 0.161179 2 0.080589 12813550 9022826 3790713 0
3 31 0.242034 3 0.080678 19239671 12662744 6576916 0
4 31 0.415348 5 0.083070 32383336 18120543 14262782 0
5 31 0.501441 6 0.083574 38699024 22777404 15921609 0
6 31 0.660902 8 0.082613 51883018 28523823 23359184 0
7 31 0.738489 9 0.082054 58211657 33074334 25137312 0
8 31 0.961154 11 0.087378 71759080 39122792 32636277 0
9 31 1.226828 13 0.094371 89150229 47049545 42100673 0
10 31 1.191229 14 0.085088 91491740 49776290 41715439 0
11 31 1.429549 16 0.089347 106062818 56338162 49724645 0
12 31 1.787088 18 0.099283 124390196 64737137 59653048 0
13 31 1.661438 19 0.087444 125214676 66644153 58570512 0
14 31 1.972183 21 0.093913 141443957 73839171 67604775 0
15 31 2.010664 23 0.087420 150864425 77191050 73673364 0
16 31 2.784926 25 0.111397 195050071 98860730 96189330 0
17 31 2.375147 26 0.091352 175330415 90183632 85146772 0
18 31 2.663483 28 0.095124 192217662 97061966 95155685 0
19 31 3.023438 30 0.100781 213161996 105880482 107281503 0
20 31 3.406799 32 0.106462 227187316 110990205 116197100 0
21 31 3.806570 34 0.111958 268089387 129430809 138658567 0
22 31 3.355800 36 0.093217 252144740 119432410 132712319 0
23 31 3.903595 38 0.102726 272726250 127280720 145445519 0
24 31 3.961139 40 0.099028 286098007 131002337 155095659 0
25 31 4.312948 42 0.102689 302629922 136159625 166470286 0
26 31 4.061918 44 0.092316 313284964 137911948 175373005 0
27 31 3.217651 46 0.069949 320921596 138375133 182546452 0
28 31 4.662414 48 0.097134 339122140 142500134 196621995 0
29 31 4.464712 50 0.089294 348623967 142874477 205749479 0
30 31 4.534932 52 0.087210 360372683 143560411 216812261 0
31 31 4.751146 53 0.089644 366645775 143037313 223608451 0
74.4047
