q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.074577 1 0.074577 6398678 6398667 0 1
1 31 0.082506 1 0.082506 6398678 6398667 0 1
2 31 0.161189 2 0.080594 12810624 9023752 3786861 0
3 31 0.243524 3 0.081175 19243839 12646742 6597086 0
4 31 0.415891 5 0.083178 32286590 18037739 14248840 0
5 31 0.507268 6 0.084545 38721426 22779054 15942361 0
6 31 0.683738 8 0.085467 52229739 28723292 23506436 0
7 31 0.736666 9 0.081852 58139396 33044197 25095188 0
8 31 0.954905 11 0.086810 71878496 39190989 32687496 0
9 31 1.182358 13 0.090951 86629332 45556621 41072700 0
10 31 1.219426 14 0.087102 90960785 49368885 41591889 0
11 31 1.412156 16 0.088260 104844013 55421189 49422813 0
12 31 1.669331 18 0.092741 120182642 62251161 57931470 0
13 31 1.736854 19 0.091413 124097574 65919961 58177602 0
14 31 1.892042 21 0.090097 139287987 72578803 66709173 0
15 31 2.228768 23 0.096903 158483795 81435064 77048720 0
16 31 2.850041 25 0.114002 191700960 97267123 94433826 0
17 31 2.392739 26 0.092028 173772017 89313438 84458568 0
18 31 2.459621 28 0.087844 184481542 92840282 91641249 0
19 31 3.006030 30 0.100201 214639378 106732244 107907123 0
20 31 3.117102 32 0.097409 224972335 109976307 114996017 0
21 31 3.588595 34 0.105547 254336025 122508107 131827907 0
22 31 3.489181 36 0.096922 251997835 119263661 132734163 0
23 31 3.694255 38 0.097217 265153579 123461134 141692434 0
24 31 4.299966 40 0.107499 308833797 141625024 167208762 0
25 31 3.322700 42 0.079112 309225939 139103078 170122850 0
26 31 4.433566 44 0.100763 304621886 133961349 170660526 0
27 31 4.193874 46 0.091171 317209014 136647820 180561183 0
28 31 4.294214 48 0.089463 329191169 138610842 190580316 0
29 31 4.689837 50 0.093797 347049210 142222494 204826705 0
30 31 4.567243 52 0.087832 367856241 146614777 221241453 0
31 31 4.716745 53 0.088995 371368116 145439368 225928737 0
74.3188
