q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.077403 1 0.077403 6398678 6398667 0 1
1 31 0.082485 1 0.082485 6398678 6398667 0 1
2 31 0.161429 2 0.080714 12814103 9031759 3782333 0
3 31 0.244343 3 0.081448 19242637 12638449 6604177 0
4 31 0.413692 5 0.082738 32260481 18044480 14215990 0
5 31 0.501574 6 0.083596 38654460 22726563 15927886 0
6 31 0.682125 8 0.085266 52089112 28622690 23466411 0
7 31 0.742678 9 0.082520 58043259 32936576 25106672 0
8 31 0.980303 11 0.089118 72420042 39473909 32946122 0
9 31 1.196312 13 0.092024 88860539 46966699 41893829 0
10 31 1.240121 14 0.088580 91419764 49726814 41692939 0
11 31 1.458918 16 0.091182 106264087 56294887 49969189 0
12 31 1.805701 18 0.100317 125196314 65136672 60059631 0
13 31 1.720517 19 0.090554 126819039 67607323 59211705 0
14 31 1.960121 21 0.093339 142279649 74367977 67911661 0
15 31 2.282111 23 0.099222 157816603 81088808 76727784 0
16 31 2.936065 25 0.117443 208172255 105718718 102453526 0
17 31 2.460977 26 0.094653 176966851 90826139 86140701 0
18 31 2.562375 28 0.091513 190232674 95982052 94250611 0
19 31 3.048835 30 0.101628 217715404 108209789 109505604 0
20 31 3.364283 32 0.105134 225656032 110125191 115530830 0
21 31 3.295355 34 0.096922 242477880 116732612 125745257 0
22 31 3.675113 36 0.102086 259415231 122811625 136603595 0
23 31 3.822278 38 0.100586 271030435 126315646 144714778 0
24 31 4.411452 40 0.110286 311030686 142508850 168521825 0
25 31 3.160885 42 0.075259 302330070 135825663 166504396 0
26 31 4.008507 44 0.091102 297713655 130850085 166863559 0
27 31 4.437405 46 0.096465 327172741 141207873 185964857 0
28 31 4.650494 48 0.096885 339768844 142941360 196827473 0
29 31 4.564687 50 0.091294 358431634 146903990 211527633 0
30 31 4.841544 52 0.093107 365925180 145829680 220095489 0
31 31 4.881600 53 0.092106 371160216 146279001 224881204 0
75.6737
