q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.084507 1 0.084507 639938 639937 0
1 31 0.080422 1 0.080422 639938 639937 0
2 31 0.170193 2 0.085096 1280296 955744 324551
3 31 0.347765 4 0.086941 2578271 1604953 973317
4 31 0.534280 6 0.089047 3858791 2326871 1531919
5 31 0.725865 8 0.090733 5129350 2976346 2153003
6 31 0.937852 10 0.093785 6571997 3802391 2769605
7 31 1.199637 13 0.092280 8379064 4533450 3845613
8 31 1.487207 16 0.092950 10327289 5366513 4960775
9 31 1.804448 19 0.094971 12485443 6330098 6155344
10 31 2.105153 22 0.095689 14500556 7274733 7225822
11 31 2.483129 26 0.095505 17210511 8199943 9010567
12 31 2.850653 30 0.095022 19830855 9060840 10770014
13 31 3.138304 34 0.092303 21938270 9728877 12209392
14 31 3.665366 37 0.099064 25893650 11450777 14442872
15 31 3.719836 40 0.092996 26339940 11521545 14818394
16 31 4.318458 44 0.098147 31056220 13199461 17856758
17 31 4.598092 46 0.099959 32869630 14221177 18648452
18 31 7.536217 49 0.153800 56104392 24090703 32013688
19 31 5.306230 50 0.106125 38650119 16778643 21871475
20 31 6.997730 52 0.134572 52076264 22585199 29491064
21 31 12.996914 53 0.245225 35331031 15391668 19939362
22 31 7.560844 55 0.137470 43800023 19071165 24728857
23 31 5.368404 57 0.094183 39532520 17054904 22477615
24 31 6.268523 60 0.104475 43842298 18549468 25292829
25 31 5.891558 61 0.096583 42295075 17988256 24306818
26 31 6.063598 62 0.097800 43999292 18836944 25162347
27 31 6.069512 64 0.094836 44261912 18826730 25435181
28 31 14.602899 67 0.217954 89127207 37038250 52088956
29 31 6.167253 69 0.089380 45118577 18326264 26792312
30 31 6.670314 70 0.095290 49532151 20130404 29401746
31 31 7.460229 71 0.105074 48153915 19340363 28813551
139.212
