q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.207620 1 0.207620 639938 639937 0
1 31 0.179671 1 0.179671 639938 639937 0
2 31 0.399275 2 0.199637 1280606 956589 324016
3 31 0.762722 4 0.190681 2564527 1589368 975158
4 31 1.024929 6 0.170821 3854433 2331975 1522457
5 31 1.144095 8 0.143012 5148815 2995673 2153141
6 31 1.143920 10 0.114392 6416434 3691081 2725352
7 31 1.273834 13 0.097987 8361607 4532800 3828806
8 31 1.505590 16 0.094099 10592542 5523597 5068944
9 31 1.776591 19 0.093505 12425577 6316671 6108905
10 31 2.066587 22 0.093936 14415390 7196824 7218565
11 31 2.421753 26 0.093144 16954452 8064649 8889802
12 31 2.774668 30 0.092489 19497290 8961222 10536067
13 31 3.189988 34 0.093823 22585057 10038167 12546889
14 31 3.477460 37 0.093985 24731728 11018103 13713624
15 31 3.866766 40 0.096669 27780497 12231296 15549200
16 31 7.007461 44 0.159260 32579323 13924226 18655096
17 31 4.422639 46 0.096144 31061606 13393433 17668172
18 31 5.658802 49 0.115486 41802513 17950841 23851671
19 31 4.794974 50 0.095899 34102902 14876787 19226114
20 31 6.375367 52 0.122603 47712559 20785204 26927354
21 31 4.875067 53 0.091982 35866753 15667610 20199142
22 31 5.633787 55 0.102432 41608700 18109517 23499182
23 31 5.181728 57 0.090908 38504497 16603763 21900733
24 31 5.843782 60 0.097396 43978847 18565330 25413516
25 31 6.543025 61 0.107263 47778359 20415516 27362842
26 31 5.618945 62 0.090628 40968965 17534922 23434042
27 31 5.807122 64 0.090736 42670686 18033284 24637401
28 31 12.883411 67 0.192290 72380874 30002723 42378150
29 31 6.156045 69 0.089218 45752685 18603086 27149598
30 31 6.456690 70 0.092238 48238737 19645117 28593619
31 31 6.421505 71 0.090444 48660714 19587164 29073549
126.896
