q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.083780 1 0.083780 639938 639937 0
1 31 0.080401 1 0.080401 639938 639937 0
2 31 0.170111 2 0.085055 1280398 958329 322068
3 31 0.346877 4 0.086719 2569761 1594549 975211
4 31 0.531226 6 0.088538 3845524 2318332 1527191
5 31 0.726806 8 0.090851 5130535 2976444 2154090
6 31 0.937434 10 0.093743 6557360 3796140 2761219
7 31 1.233631 13 0.094895 8638918 4701747 3937170
8 31 1.478877 16 0.092430 10300792 5351507 4949284
9 31 1.792372 19 0.094335 12421567 6320920 6100646
10 31 2.078111 22 0.094460 14349202 7170689 7178512
11 31 2.497982 26 0.096076 17327189 8295314 9031874
12 31 2.888903 30 0.096297 20138058 9307915 10830142
13 31 3.244149 34 0.095416 22752040 10173564 12578475
14 31 3.459706 37 0.093506 24337162 10793332 13543829
15 31 3.801973 40 0.095049 26988915 11903577 15085337
16 31 4.361363 44 0.099122 31406609 13423047 17983561
17 31 4.318084 46 0.093871 30758799 13290590 17468208
18 31 5.904301 49 0.120496 43405752 18733693 24672058
19 31 5.099868 50 0.101997 37074805 16144906 20929898
20 31 5.196985 52 0.099942 37495238 16193801 21301436
21 31 5.834738 53 0.110089 43061374 18893098 24168275
22 31 6.342186 55 0.115312 47183788 20551782 26632005
23 31 5.151931 57 0.090385 37887805 16378642 21509162
24 31 6.001815 60 0.100030 44836175 19180842 25655332
25 31 5.962515 61 0.097746 42839605 18279722 24559882
26 31 5.777103 62 0.093179 41786856 17880611 23906244
27 31 5.788010 64 0.090438 42073623 17837994 24235628
28 31 11.106857 67 0.165774 83823732 34868907 48954824
29 31 6.380101 69 0.092465 46987813 19351463 27636349
30 31 6.333694 70 0.090481 46842235 19034317 27807917
31 31 6.367381 71 0.089681 47746009 19026741 28719267
121.279
