run: 831 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Tue Jan 26 01:17:24 2021 | q: 0/31 | q_time: 0.083517s | E: 1 | q_time/E: 0.083517s | shuffle time: 0.000000s
Tue Jan 26 01:17:24 2021 | q: 1/31 | q_time: 0.080052s | E: 1 | q_time/E: 0.080052s | shuffle time: 0.000217s
Tue Jan 26 01:17:24 2021 | q: 2/31 | q_time: 0.169248s | E: 2 | q_time/E: 0.084624s | shuffle time: 0.000240s
Tue Jan 26 01:17:24 2021 | q: 3/31 | q_time: 0.344482s | E: 4 | q_time/E: 0.086121s | shuffle time: 0.000235s
Tue Jan 26 01:17:25 2021 | q: 4/31 | q_time: 0.528678s | E: 6 | q_time/E: 0.088113s | shuffle time: 0.000243s
Tue Jan 26 01:17:25 2021 | q: 5/31 | q_time: 0.727682s | E: 8 | q_time/E: 0.090960s | shuffle time: 0.000246s
Tue Jan 26 01:17:26 2021 | q: 6/31 | q_time: 0.909872s | E: 10 | q_time/E: 0.090987s | shuffle time: 0.000247s
Tue Jan 26 01:17:28 2021 | q: 7/31 | q_time: 1.234824s | E: 13 | q_time/E: 0.094986s | shuffle time: 0.000245s
Tue Jan 26 01:17:29 2021 | q: 8/31 | q_time: 1.558473s | E: 16 | q_time/E: 0.097405s | shuffle time: 0.000249s
Tue Jan 26 01:17:31 2021 | q: 9/31 | q_time: 1.790156s | E: 19 | q_time/E: 0.094219s | shuffle time: 0.000251s
Tue Jan 26 01:17:33 2021 | q: 10/31 | q_time: 2.082192s | E: 22 | q_time/E: 0.094645s | shuffle time: 0.000254s
Tue Jan 26 01:17:35 2021 | q: 11/31 | q_time: 2.405523s | E: 26 | q_time/E: 0.092520s | shuffle time: 0.000252s
Tue Jan 26 01:17:38 2021 | q: 12/31 | q_time: 2.776728s | E: 30 | q_time/E: 0.092558s | shuffle time: 0.000254s
Tue Jan 26 01:17:41 2021 | q: 13/31 | q_time: 3.170198s | E: 34 | q_time/E: 0.093241s | shuffle time: 0.000257s
Tue Jan 26 01:17:45 2021 | q: 14/31 | q_time: 3.387720s | E: 37 | q_time/E: 0.091560s | shuffle time: 0.000255s
Tue Jan 26 01:17:49 2021 | q: 15/31 | q_time: 3.942893s | E: 40 | q_time/E: 0.098572s | shuffle time: 0.000253s
Tue Jan 26 01:17:53 2021 | q: 16/31 | q_time: 4.038418s | E: 44 | q_time/E: 0.091782s | shuffle time: 0.000253s
Tue Jan 26 01:17:57 2021 | q: 17/31 | q_time: 4.296656s | E: 46 | q_time/E: 0.093406s | shuffle time: 0.000254s
Tue Jan 26 01:18:04 2021 | q: 18/31 | q_time: 6.787857s | E: 49 | q_time/E: 0.138528s | shuffle time: 0.000257s
Tue Jan 26 01:18:09 2021 | q: 19/31 | q_time: 5.483785s | E: 50 | q_time/E: 0.109676s | shuffle time: 0.000258s
Tue Jan 26 01:18:15 2021 | q: 20/31 | q_time: 5.355661s | E: 52 | q_time/E: 0.102993s | shuffle time: 0.000257s
Tue Jan 26 01:18:20 2021 | q: 21/31 | q_time: 5.173781s | E: 53 | q_time/E: 0.097619s | shuffle time: 0.000258s
Tue Jan 26 01:18:25 2021 | q: 22/31 | q_time: 5.417319s | E: 55 | q_time/E: 0.098497s | shuffle time: 0.000259s
Tue Jan 26 01:18:31 2021 | q: 23/31 | q_time: 5.354604s | E: 57 | q_time/E: 0.093940s | shuffle time: 0.000258s
Tue Jan 26 01:18:37 2021 | q: 24/31 | q_time: 6.400996s | E: 60 | q_time/E: 0.106683s | shuffle time: 0.000257s
Tue Jan 26 01:18:43 2021 | q: 25/31 | q_time: 5.969006s | E: 61 | q_time/E: 0.097853s | shuffle time: 0.000259s
Tue Jan 26 01:18:49 2021 | q: 26/31 | q_time: 5.738295s | E: 62 | q_time/E: 0.092553s | shuffle time: 0.000255s
Tue Jan 26 01:18:55 2021 | q: 27/31 | q_time: 5.917298s | E: 64 | q_time/E: 0.092458s | shuffle time: 0.000252s
Tue Jan 26 01:19:09 2021 | q: 28/31 | q_time: 14.424149s | E: 67 | q_time/E: 0.215286s | shuffle time: 0.000252s
Tue Jan 26 01:19:15 2021 | q: 29/31 | q_time: 6.179042s | E: 69 | q_time/E: 0.089551s | shuffle time: 0.000253s
Tue Jan 26 01:19:22 2021 | q: 30/31 | q_time: 6.532628s | E: 70 | q_time/E: 0.093323s | shuffle time: 0.000249s
Tue Jan 26 01:19:28 2021 | q: 31/31 | q_time: 6.499063s | E: 71 | q_time/E: 0.091536s | shuffle time: 0.000249s
