run: 506 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 13:45:52 2021 | q: 0/31 | q_time: 0.083177s | E: 1 | q_time/E: 0.083177s | shuffle time: 0.000000s
Mon Jan 25 13:45:52 2021 | q: 1/31 | q_time: 0.080036s | E: 1 | q_time/E: 0.080036s | shuffle time: 0.000217s
Mon Jan 25 13:45:52 2021 | q: 2/31 | q_time: 0.169420s | E: 2 | q_time/E: 0.084710s | shuffle time: 0.000240s
Mon Jan 25 13:45:53 2021 | q: 3/31 | q_time: 0.345251s | E: 4 | q_time/E: 0.086313s | shuffle time: 0.000235s
Mon Jan 25 13:45:53 2021 | q: 4/31 | q_time: 0.530437s | E: 6 | q_time/E: 0.088406s | shuffle time: 0.000242s
Mon Jan 25 13:45:54 2021 | q: 5/31 | q_time: 0.723196s | E: 8 | q_time/E: 0.090399s | shuffle time: 0.000248s
Mon Jan 25 13:45:55 2021 | q: 6/31 | q_time: 0.917077s | E: 10 | q_time/E: 0.091708s | shuffle time: 0.000247s
Mon Jan 25 13:45:56 2021 | q: 7/31 | q_time: 1.222848s | E: 13 | q_time/E: 0.094065s | shuffle time: 0.000246s
Mon Jan 25 13:45:58 2021 | q: 8/31 | q_time: 1.520873s | E: 16 | q_time/E: 0.095055s | shuffle time: 0.000250s
Mon Jan 25 13:45:59 2021 | q: 9/31 | q_time: 1.788450s | E: 19 | q_time/E: 0.094129s | shuffle time: 0.000253s
Mon Jan 25 13:46:02 2021 | q: 10/31 | q_time: 2.107465s | E: 22 | q_time/E: 0.095794s | shuffle time: 0.000254s
Mon Jan 25 13:46:04 2021 | q: 11/31 | q_time: 2.522635s | E: 26 | q_time/E: 0.097024s | shuffle time: 0.000253s
Mon Jan 25 13:46:07 2021 | q: 12/31 | q_time: 2.763385s | E: 30 | q_time/E: 0.092113s | shuffle time: 0.000255s
Mon Jan 25 13:46:10 2021 | q: 13/31 | q_time: 3.132888s | E: 34 | q_time/E: 0.092144s | shuffle time: 0.000256s
Mon Jan 25 13:46:13 2021 | q: 14/31 | q_time: 3.505514s | E: 37 | q_time/E: 0.094744s | shuffle time: 0.000254s
Mon Jan 25 13:46:17 2021 | q: 15/31 | q_time: 3.674139s | E: 40 | q_time/E: 0.091853s | shuffle time: 0.000256s
Mon Jan 25 13:46:21 2021 | q: 16/31 | q_time: 4.185062s | E: 44 | q_time/E: 0.095115s | shuffle time: 0.000256s
Mon Jan 25 13:46:26 2021 | q: 17/31 | q_time: 4.441865s | E: 46 | q_time/E: 0.096562s | shuffle time: 0.000256s
Mon Jan 25 13:46:33 2021 | q: 18/31 | q_time: 6.842395s | E: 49 | q_time/E: 0.139641s | shuffle time: 0.000259s
Mon Jan 25 13:46:38 2021 | q: 19/31 | q_time: 5.025991s | E: 50 | q_time/E: 0.100520s | shuffle time: 0.000261s
Mon Jan 25 13:46:44 2021 | q: 20/31 | q_time: 6.293341s | E: 52 | q_time/E: 0.121026s | shuffle time: 0.000259s
Mon Jan 25 13:46:50 2021 | q: 21/31 | q_time: 5.611449s | E: 53 | q_time/E: 0.105876s | shuffle time: 0.000262s
Mon Jan 25 13:46:55 2021 | q: 22/31 | q_time: 5.362875s | E: 55 | q_time/E: 0.097507s | shuffle time: 0.000260s
Mon Jan 25 13:47:00 2021 | q: 23/31 | q_time: 5.135812s | E: 57 | q_time/E: 0.090102s | shuffle time: 0.000261s
Mon Jan 25 13:47:06 2021 | q: 24/31 | q_time: 5.913500s | E: 60 | q_time/E: 0.098558s | shuffle time: 0.000261s
Mon Jan 25 13:47:12 2021 | q: 25/31 | q_time: 6.138559s | E: 61 | q_time/E: 0.100632s | shuffle time: 0.000260s
Mon Jan 25 13:47:18 2021 | q: 26/31 | q_time: 5.942010s | E: 62 | q_time/E: 0.095839s | shuffle time: 0.000256s
Mon Jan 25 13:47:24 2021 | q: 27/31 | q_time: 5.884126s | E: 64 | q_time/E: 0.091939s | shuffle time: 0.000256s
Mon Jan 25 13:47:35 2021 | q: 28/31 | q_time: 11.511269s | E: 67 | q_time/E: 0.171810s | shuffle time: 0.000254s
Mon Jan 25 13:47:42 2021 | q: 29/31 | q_time: 6.424423s | E: 69 | q_time/E: 0.093108s | shuffle time: 0.000252s
Mon Jan 25 13:47:48 2021 | q: 30/31 | q_time: 6.242838s | E: 70 | q_time/E: 0.089183s | shuffle time: 0.000252s
Mon Jan 25 13:47:55 2021 | q: 31/31 | q_time: 6.624480s | E: 71 | q_time/E: 0.093303s | shuffle time: 0.000250s
