q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.096715 1 0.096715 639938 639937 0
1 31 0.097888 1 0.097888 639938 639937 0
2 31 0.195814 2 0.097907 1280464 956545 323918
3 31 0.376113 4 0.094028 2573777 1602957 970819
4 31 0.546313 6 0.091052 3884185 2347488 1536696
5 31 0.724777 8 0.090597 5135084 2981293 2153790
6 31 0.914539 10 0.091454 6412188 3692868 2719319
7 31 1.235811 13 0.095062 8659761 4699074 3960686
8 31 1.578003 16 0.098625 11034292 5731345 5302946
9 31 1.788185 19 0.094115 12377711 6297249 6080461
10 31 2.070811 22 0.094128 14291853 7136151 7155701
11 31 2.455553 26 0.094444 17044607 8091337 8953269
12 31 2.818736 30 0.093958 19635928 8999928 10635999
13 31 3.630673 34 0.106784 21987680 9730648 12257031
14 31 4.231145 37 0.114355 24193356 10666463 13526892
15 31 3.952533 40 0.098813 28204999 12448591 15756407
16 31 4.544184 44 0.103277 33007873 14087241 18920631
17 31 4.168019 46 0.090609 29783305 12844871 16938433
18 31 5.583801 49 0.113955 41153709 17631585 23522123
19 31 4.516052 50 0.090321 32712445 14138648 18573796
20 31 6.264331 52 0.120468 46634690 20283457 26351232
21 31 6.807133 53 0.128436 37687394 16496598 21190795
22 31 6.877015 55 0.125037 51699191 22546707 29152483
23 31 5.038256 57 0.088390 37214378 16002911 21211466
24 31 6.348604 60 0.105810 47904664 20190612 27714051
25 31 5.596882 61 0.091752 40360427 17200035 23160391
26 31 6.363563 62 0.102638 46654453 19923938 26730514
27 31 6.377187 64 0.099644 42821206 18144214 24676991
28 31 9.970007 67 0.148806 75077962 31073014 44004947
29 31 6.429953 69 0.093188 47462138 19458025 28004112
30 31 6.268672 70 0.089552 46362809 18761975 27600833
31 31 6.343483 71 0.089345 47599421 19146309 28453111
124.211
