run: 222 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 03:33:45 2021 | q: 0/31 | q_time: 0.083257s | E: 1 | q_time/E: 0.083257s | shuffle time: 0.000000s
Mon Jan 25 03:33:46 2021 | q: 1/31 | q_time: 0.080075s | E: 1 | q_time/E: 0.080075s | shuffle time: 0.000215s
Mon Jan 25 03:33:46 2021 | q: 2/31 | q_time: 0.169732s | E: 2 | q_time/E: 0.084866s | shuffle time: 0.000239s
Mon Jan 25 03:33:46 2021 | q: 3/31 | q_time: 0.347685s | E: 4 | q_time/E: 0.086921s | shuffle time: 0.000234s
Mon Jan 25 03:33:47 2021 | q: 4/31 | q_time: 0.530032s | E: 6 | q_time/E: 0.088339s | shuffle time: 0.000240s
Mon Jan 25 03:33:47 2021 | q: 5/31 | q_time: 0.721360s | E: 8 | q_time/E: 0.090170s | shuffle time: 0.000247s
Mon Jan 25 03:33:48 2021 | q: 6/31 | q_time: 0.921047s | E: 10 | q_time/E: 0.092105s | shuffle time: 0.000246s
Mon Jan 25 03:33:49 2021 | q: 7/31 | q_time: 1.195070s | E: 13 | q_time/E: 0.091928s | shuffle time: 0.000246s
Mon Jan 25 03:33:51 2021 | q: 8/31 | q_time: 1.519285s | E: 16 | q_time/E: 0.094955s | shuffle time: 0.000247s
Mon Jan 25 03:33:53 2021 | q: 9/31 | q_time: 1.770518s | E: 19 | q_time/E: 0.093185s | shuffle time: 0.000250s
Mon Jan 25 03:33:55 2021 | q: 10/31 | q_time: 2.097188s | E: 22 | q_time/E: 0.095327s | shuffle time: 0.000251s
Mon Jan 25 03:33:57 2021 | q: 11/31 | q_time: 2.452219s | E: 26 | q_time/E: 0.094316s | shuffle time: 0.000257s
Mon Jan 25 03:34:00 2021 | q: 12/31 | q_time: 2.845430s | E: 30 | q_time/E: 0.094848s | shuffle time: 0.000253s
Mon Jan 25 03:34:06 2021 | q: 13/31 | q_time: 5.501626s | E: 34 | q_time/E: 0.161813s | shuffle time: 0.000254s
Mon Jan 25 03:34:11 2021 | q: 14/31 | q_time: 4.995460s | E: 37 | q_time/E: 0.135012s | shuffle time: 0.000765s
Mon Jan 25 03:34:14 2021 | q: 15/31 | q_time: 3.719041s | E: 40 | q_time/E: 0.092976s | shuffle time: 0.000253s
Mon Jan 25 03:34:18 2021 | q: 16/31 | q_time: 4.046451s | E: 44 | q_time/E: 0.091965s | shuffle time: 0.000250s
Mon Jan 25 03:34:23 2021 | q: 17/31 | q_time: 4.329339s | E: 46 | q_time/E: 0.094116s | shuffle time: 0.000252s
Mon Jan 25 03:34:28 2021 | q: 18/31 | q_time: 5.549945s | E: 49 | q_time/E: 0.113264s | shuffle time: 0.000255s
Mon Jan 25 03:34:33 2021 | q: 19/31 | q_time: 4.818421s | E: 50 | q_time/E: 0.096368s | shuffle time: 0.000256s
Mon Jan 25 03:34:38 2021 | q: 20/31 | q_time: 5.336892s | E: 52 | q_time/E: 0.102633s | shuffle time: 0.000257s
Mon Jan 25 03:34:43 2021 | q: 21/31 | q_time: 4.817300s | E: 53 | q_time/E: 0.090892s | shuffle time: 0.000257s
Mon Jan 25 03:34:49 2021 | q: 22/31 | q_time: 5.855766s | E: 55 | q_time/E: 0.106468s | shuffle time: 0.000258s
Mon Jan 25 03:34:56 2021 | q: 23/31 | q_time: 7.265017s | E: 57 | q_time/E: 0.127456s | shuffle time: 0.000260s
Mon Jan 25 03:35:09 2021 | q: 24/31 | q_time: 12.472273s | E: 60 | q_time/E: 0.207871s | shuffle time: 0.002195s
Mon Jan 25 03:35:15 2021 | q: 25/31 | q_time: 6.010779s | E: 61 | q_time/E: 0.098537s | shuffle time: 0.000257s
Mon Jan 25 03:35:20 2021 | q: 26/31 | q_time: 5.637415s | E: 62 | q_time/E: 0.090926s | shuffle time: 0.000254s
Mon Jan 25 03:35:26 2021 | q: 27/31 | q_time: 5.962085s | E: 64 | q_time/E: 0.093158s | shuffle time: 0.000252s
Mon Jan 25 03:35:44 2021 | q: 28/31 | q_time: 17.960519s | E: 67 | q_time/E: 0.268067s | shuffle time: 0.000253s
Mon Jan 25 03:35:51 2021 | q: 29/31 | q_time: 6.349712s | E: 69 | q_time/E: 0.092025s | shuffle time: 0.000255s
Mon Jan 25 03:35:57 2021 | q: 30/31 | q_time: 6.195091s | E: 70 | q_time/E: 0.088501s | shuffle time: 0.000250s
Mon Jan 25 03:36:03 2021 | q: 31/31 | q_time: 6.363616s | E: 71 | q_time/E: 0.089628s | shuffle time: 0.000249s
