q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.085503 1 0.085503 639938 639937 0
1 31 0.080711 1 0.080711 639938 639937 0
2 31 0.170973 2 0.085486 1280139 956441 323697
3 31 0.347845 4 0.086961 2567285 1591185 976099
4 31 0.535011 6 0.089168 3856380 2336141 1520238
5 31 0.732615 8 0.091577 5155219 2998015 2157203
6 31 0.920221 10 0.092022 6421976 3697878 2724097
7 31 1.198676 13 0.092206 8346294 4519180 3827113
8 31 1.561765 16 0.097610 10857440 5656928 5200511
9 31 1.805144 19 0.095008 12442279 6335176 6107102
10 31 2.113644 22 0.096075 14535047 7277346 7257700
11 31 2.424040 26 0.093232 16710863 7928943 8781919
12 31 2.813600 30 0.093787 19486420 8913102 10573317
13 31 3.152613 34 0.092724 21943864 9762438 12181425
14 31 3.527703 37 0.095343 24749433 10978830 13770602
15 31 3.689909 40 0.092248 25989764 11427270 14562493
16 31 4.543375 44 0.103259 32688332 14064873 18623458
17 31 4.393628 46 0.095514 31177311 13547158 17630152
18 31 5.238349 49 0.106905 38045944 16344600 21701343
19 31 4.809422 50 0.096188 34663366 15128453 19534912
20 31 6.141017 52 0.118096 45205659 19669739 25535919
21 31 5.294424 53 0.099895 38658656 16955665 21702990
22 31 6.787759 55 0.123414 50449072 22084174 28364897
23 31 5.415667 57 0.095012 39785891 17315282 22470608
24 31 6.360508 60 0.106008 47495306 20102670 27392635
25 31 5.745146 61 0.094183 41058214 17494408 23563805
26 31 5.669063 62 0.091436 40832638 17486412 23346225
27 31 5.899350 64 0.092177 42812027 18188504 24623522
28 31 10.148563 67 0.151471 76122469 31561267 44561201
29 31 6.296179 69 0.091249 46224726 18938586 27286139
30 31 6.246373 70 0.089234 46056761 18612422 27444338
31 31 6.312419 71 0.088907 47154199 18924428 28229770
120.461
