run: 207 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 03:00:26 2021 | q: 0/31 | q_time: 0.226971s | E: 1 | q_time/E: 0.226971s | shuffle time: 0.000000s
Mon Jan 25 03:00:26 2021 | q: 1/31 | q_time: 0.241332s | E: 1 | q_time/E: 0.241332s | shuffle time: 0.000726s
Mon Jan 25 03:00:27 2021 | q: 2/31 | q_time: 0.452700s | E: 2 | q_time/E: 0.226350s | shuffle time: 0.000777s
Mon Jan 25 03:00:28 2021 | q: 3/31 | q_time: 0.771380s | E: 4 | q_time/E: 0.192845s | shuffle time: 0.000649s
Mon Jan 25 03:00:29 2021 | q: 4/31 | q_time: 0.907203s | E: 6 | q_time/E: 0.151200s | shuffle time: 0.000541s
Mon Jan 25 03:00:29 2021 | q: 5/31 | q_time: 0.900744s | E: 8 | q_time/E: 0.112593s | shuffle time: 0.000387s
Mon Jan 25 03:00:30 2021 | q: 6/31 | q_time: 0.955470s | E: 10 | q_time/E: 0.095547s | shuffle time: 0.000297s
Mon Jan 25 03:00:32 2021 | q: 7/31 | q_time: 1.196374s | E: 13 | q_time/E: 0.092029s | shuffle time: 0.000246s
Mon Jan 25 03:00:33 2021 | q: 8/31 | q_time: 1.483293s | E: 16 | q_time/E: 0.092706s | shuffle time: 0.000251s
Mon Jan 25 03:00:35 2021 | q: 9/31 | q_time: 1.809333s | E: 19 | q_time/E: 0.095228s | shuffle time: 0.000253s
Mon Jan 25 03:00:37 2021 | q: 10/31 | q_time: 2.120122s | E: 22 | q_time/E: 0.096369s | shuffle time: 0.000257s
Mon Jan 25 03:00:39 2021 | q: 11/31 | q_time: 2.455148s | E: 26 | q_time/E: 0.094429s | shuffle time: 0.000255s
Mon Jan 25 03:00:42 2021 | q: 12/31 | q_time: 2.813783s | E: 30 | q_time/E: 0.093793s | shuffle time: 0.000255s
Mon Jan 25 03:00:45 2021 | q: 13/31 | q_time: 3.177252s | E: 34 | q_time/E: 0.093449s | shuffle time: 0.000258s
Mon Jan 25 03:00:49 2021 | q: 14/31 | q_time: 3.400432s | E: 37 | q_time/E: 0.091904s | shuffle time: 0.000258s
Mon Jan 25 03:00:53 2021 | q: 15/31 | q_time: 3.754428s | E: 40 | q_time/E: 0.093861s | shuffle time: 0.000256s
Mon Jan 25 03:00:57 2021 | q: 16/31 | q_time: 4.440576s | E: 44 | q_time/E: 0.100922s | shuffle time: 0.000255s
Mon Jan 25 03:01:01 2021 | q: 17/31 | q_time: 4.329235s | E: 46 | q_time/E: 0.094114s | shuffle time: 0.000256s
Mon Jan 25 03:01:08 2021 | q: 18/31 | q_time: 6.532748s | E: 49 | q_time/E: 0.133321s | shuffle time: 0.000259s
Mon Jan 25 03:01:13 2021 | q: 19/31 | q_time: 5.100453s | E: 50 | q_time/E: 0.102009s | shuffle time: 0.000257s
Mon Jan 25 03:01:18 2021 | q: 20/31 | q_time: 5.048841s | E: 52 | q_time/E: 0.097093s | shuffle time: 0.000258s
Mon Jan 25 03:01:23 2021 | q: 21/31 | q_time: 4.788244s | E: 53 | q_time/E: 0.090344s | shuffle time: 0.000260s
Mon Jan 25 03:01:30 2021 | q: 22/31 | q_time: 7.457978s | E: 55 | q_time/E: 0.135600s | shuffle time: 0.000259s
Mon Jan 25 03:01:36 2021 | q: 23/31 | q_time: 5.266424s | E: 57 | q_time/E: 0.092393s | shuffle time: 0.000261s
Mon Jan 25 03:01:53 2021 | q: 24/31 | q_time: 17.268101s | E: 60 | q_time/E: 0.287802s | shuffle time: 0.000259s
Mon Jan 25 03:01:59 2021 | q: 25/31 | q_time: 5.892213s | E: 61 | q_time/E: 0.096594s | shuffle time: 0.000269s
Mon Jan 25 03:02:05 2021 | q: 26/31 | q_time: 5.975061s | E: 62 | q_time/E: 0.096372s | shuffle time: 0.000255s
Mon Jan 25 03:02:11 2021 | q: 27/31 | q_time: 5.881052s | E: 64 | q_time/E: 0.091891s | shuffle time: 0.000254s
Mon Jan 25 03:02:22 2021 | q: 28/31 | q_time: 11.149568s | E: 67 | q_time/E: 0.166411s | shuffle time: 0.000251s
Mon Jan 25 03:02:28 2021 | q: 29/31 | q_time: 6.154281s | E: 69 | q_time/E: 0.089192s | shuffle time: 0.000252s
Mon Jan 25 03:02:34 2021 | q: 30/31 | q_time: 6.254578s | E: 70 | q_time/E: 0.089351s | shuffle time: 0.000249s
Mon Jan 25 03:02:40 2021 | q: 31/31 | q_time: 6.210609s | E: 71 | q_time/E: 0.087473s | shuffle time: 0.000249s
