run: 231 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 03:53:40 2021 | q: 0/31 | q_time: 0.340045s | E: 1 | q_time/E: 0.340045s | shuffle time: 0.000000s
Mon Jan 25 03:53:40 2021 | q: 1/31 | q_time: 0.388792s | E: 1 | q_time/E: 0.388792s | shuffle time: 0.001044s
Mon Jan 25 03:53:41 2021 | q: 2/31 | q_time: 1.222264s | E: 2 | q_time/E: 0.611132s | shuffle time: 0.001287s
Mon Jan 25 03:53:44 2021 | q: 3/31 | q_time: 2.440377s | E: 4 | q_time/E: 0.610094s | shuffle time: 0.001993s
Mon Jan 25 03:53:46 2021 | q: 4/31 | q_time: 2.610929s | E: 6 | q_time/E: 0.435155s | shuffle time: 0.001415s
Mon Jan 25 03:53:49 2021 | q: 5/31 | q_time: 2.337290s | E: 8 | q_time/E: 0.292161s | shuffle time: 0.001013s
Mon Jan 25 03:53:51 2021 | q: 6/31 | q_time: 1.896487s | E: 10 | q_time/E: 0.189649s | shuffle time: 0.000651s
Mon Jan 25 03:53:52 2021 | q: 7/31 | q_time: 1.875750s | E: 13 | q_time/E: 0.144288s | shuffle time: 0.000454s
Mon Jan 25 03:53:54 2021 | q: 8/31 | q_time: 1.649770s | E: 16 | q_time/E: 0.103111s | shuffle time: 0.000313s
Mon Jan 25 03:53:56 2021 | q: 9/31 | q_time: 1.761993s | E: 19 | q_time/E: 0.092736s | shuffle time: 0.000250s
Mon Jan 25 03:53:58 2021 | q: 10/31 | q_time: 2.078049s | E: 22 | q_time/E: 0.094457s | shuffle time: 0.000252s
Mon Jan 25 03:54:00 2021 | q: 11/31 | q_time: 2.419038s | E: 26 | q_time/E: 0.093040s | shuffle time: 0.000254s
Mon Jan 25 03:54:03 2021 | q: 12/31 | q_time: 2.793247s | E: 30 | q_time/E: 0.093108s | shuffle time: 0.000254s
Mon Jan 25 03:54:06 2021 | q: 13/31 | q_time: 3.287623s | E: 34 | q_time/E: 0.096695s | shuffle time: 0.000256s
Mon Jan 25 03:54:10 2021 | q: 14/31 | q_time: 3.445099s | E: 37 | q_time/E: 0.093111s | shuffle time: 0.000254s
Mon Jan 25 03:54:14 2021 | q: 15/31 | q_time: 3.989666s | E: 40 | q_time/E: 0.099742s | shuffle time: 0.000253s
Mon Jan 25 03:54:18 2021 | q: 16/31 | q_time: 4.548965s | E: 44 | q_time/E: 0.103386s | shuffle time: 0.000253s
Mon Jan 25 03:54:23 2021 | q: 17/31 | q_time: 4.463007s | E: 46 | q_time/E: 0.097022s | shuffle time: 0.000256s
Mon Jan 25 03:54:28 2021 | q: 18/31 | q_time: 5.071734s | E: 49 | q_time/E: 0.103505s | shuffle time: 0.000254s
Mon Jan 25 03:54:33 2021 | q: 19/31 | q_time: 4.749828s | E: 50 | q_time/E: 0.094997s | shuffle time: 0.000255s
Mon Jan 25 03:54:39 2021 | q: 20/31 | q_time: 5.819158s | E: 52 | q_time/E: 0.111907s | shuffle time: 0.000257s
Mon Jan 25 03:54:44 2021 | q: 21/31 | q_time: 5.028463s | E: 53 | q_time/E: 0.094877s | shuffle time: 0.000278s
Mon Jan 25 03:54:50 2021 | q: 22/31 | q_time: 6.442968s | E: 55 | q_time/E: 0.117145s | shuffle time: 0.000260s
Mon Jan 25 03:54:56 2021 | q: 23/31 | q_time: 5.662592s | E: 57 | q_time/E: 0.099344s | shuffle time: 0.000258s
Mon Jan 25 03:55:02 2021 | q: 24/31 | q_time: 6.401090s | E: 60 | q_time/E: 0.106685s | shuffle time: 0.000259s
Mon Jan 25 03:55:08 2021 | q: 25/31 | q_time: 6.180964s | E: 61 | q_time/E: 0.101327s | shuffle time: 0.000257s
Mon Jan 25 03:55:26 2021 | q: 26/31 | q_time: 17.231084s | E: 62 | q_time/E: 0.277921s | shuffle time: 0.000262s
Mon Jan 25 03:55:31 2021 | q: 27/31 | q_time: 5.761244s | E: 64 | q_time/E: 0.090019s | shuffle time: 0.000254s
Mon Jan 25 03:55:46 2021 | q: 28/31 | q_time: 14.229568s | E: 67 | q_time/E: 0.212382s | shuffle time: 0.000253s
Mon Jan 25 03:55:52 2021 | q: 29/31 | q_time: 6.497881s | E: 69 | q_time/E: 0.094172s | shuffle time: 0.000252s
Mon Jan 25 03:55:58 2021 | q: 30/31 | q_time: 6.320834s | E: 70 | q_time/E: 0.090298s | shuffle time: 0.000253s
Mon Jan 25 03:56:05 2021 | q: 31/31 | q_time: 6.404347s | E: 71 | q_time/E: 0.090202s | shuffle time: 0.000251s
