run: 845 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Tue Jan 26 01:47:14 2021 | q: 0/31 | q_time: 0.083562s | E: 1 | q_time/E: 0.083562s | shuffle time: 0.000000s
Tue Jan 26 01:47:14 2021 | q: 1/31 | q_time: 0.079931s | E: 1 | q_time/E: 0.079931s | shuffle time: 0.000214s
Tue Jan 26 01:47:15 2021 | q: 2/31 | q_time: 0.169421s | E: 2 | q_time/E: 0.084710s | shuffle time: 0.000238s
Tue Jan 26 01:47:15 2021 | q: 3/31 | q_time: 0.343407s | E: 4 | q_time/E: 0.085852s | shuffle time: 0.000232s
Tue Jan 26 01:47:16 2021 | q: 4/31 | q_time: 0.527895s | E: 6 | q_time/E: 0.087983s | shuffle time: 0.000243s
Tue Jan 26 01:47:16 2021 | q: 5/31 | q_time: 0.721941s | E: 8 | q_time/E: 0.090243s | shuffle time: 0.000259s
Tue Jan 26 01:47:17 2021 | q: 6/31 | q_time: 0.910518s | E: 10 | q_time/E: 0.091052s | shuffle time: 0.000248s
Tue Jan 26 01:47:18 2021 | q: 7/31 | q_time: 1.196793s | E: 13 | q_time/E: 0.092061s | shuffle time: 0.000244s
Tue Jan 26 01:47:20 2021 | q: 8/31 | q_time: 1.502408s | E: 16 | q_time/E: 0.093900s | shuffle time: 0.000248s
Tue Jan 26 01:47:22 2021 | q: 9/31 | q_time: 1.760334s | E: 19 | q_time/E: 0.092649s | shuffle time: 0.000251s
Tue Jan 26 01:47:24 2021 | q: 10/31 | q_time: 2.070730s | E: 22 | q_time/E: 0.094124s | shuffle time: 0.000254s
Tue Jan 26 01:47:26 2021 | q: 11/31 | q_time: 2.406368s | E: 26 | q_time/E: 0.092553s | shuffle time: 0.000251s
Tue Jan 26 01:47:29 2021 | q: 12/31 | q_time: 2.808670s | E: 30 | q_time/E: 0.093622s | shuffle time: 0.000252s
Tue Jan 26 01:47:34 2021 | q: 13/31 | q_time: 4.680404s | E: 34 | q_time/E: 0.137659s | shuffle time: 0.000254s
Tue Jan 26 01:47:37 2021 | q: 14/31 | q_time: 3.519559s | E: 37 | q_time/E: 0.095123s | shuffle time: 0.000305s
Tue Jan 26 01:47:41 2021 | q: 15/31 | q_time: 3.777384s | E: 40 | q_time/E: 0.094435s | shuffle time: 0.000253s
Tue Jan 26 01:47:45 2021 | q: 16/31 | q_time: 4.102768s | E: 44 | q_time/E: 0.093245s | shuffle time: 0.000254s
Tue Jan 26 01:47:49 2021 | q: 17/31 | q_time: 4.501120s | E: 46 | q_time/E: 0.097850s | shuffle time: 0.000253s
Tue Jan 26 01:47:56 2021 | q: 18/31 | q_time: 6.612255s | E: 49 | q_time/E: 0.134944s | shuffle time: 0.000255s
Tue Jan 26 01:48:01 2021 | q: 19/31 | q_time: 5.034957s | E: 50 | q_time/E: 0.100699s | shuffle time: 0.000256s
Tue Jan 26 01:48:08 2021 | q: 20/31 | q_time: 6.725463s | E: 52 | q_time/E: 0.129336s | shuffle time: 0.000257s
Tue Jan 26 01:48:13 2021 | q: 21/31 | q_time: 5.242218s | E: 53 | q_time/E: 0.098910s | shuffle time: 0.000258s
Tue Jan 26 01:48:19 2021 | q: 22/31 | q_time: 6.134987s | E: 55 | q_time/E: 0.111545s | shuffle time: 0.000259s
Tue Jan 26 01:48:25 2021 | q: 23/31 | q_time: 5.469166s | E: 57 | q_time/E: 0.095950s | shuffle time: 0.000258s
Tue Jan 26 01:48:37 2021 | q: 24/31 | q_time: 12.073084s | E: 60 | q_time/E: 0.201218s | shuffle time: 0.000257s
Tue Jan 26 01:48:43 2021 | q: 25/31 | q_time: 6.570593s | E: 61 | q_time/E: 0.107715s | shuffle time: 0.000451s
Tue Jan 26 01:48:49 2021 | q: 26/31 | q_time: 5.727752s | E: 62 | q_time/E: 0.092383s | shuffle time: 0.000256s
Tue Jan 26 01:48:55 2021 | q: 27/31 | q_time: 5.875749s | E: 64 | q_time/E: 0.091809s | shuffle time: 0.000262s
Tue Jan 26 01:49:07 2021 | q: 28/31 | q_time: 12.243125s | E: 67 | q_time/E: 0.182733s | shuffle time: 0.000256s
Tue Jan 26 01:49:13 2021 | q: 29/31 | q_time: 6.199686s | E: 69 | q_time/E: 0.089851s | shuffle time: 0.000254s
Tue Jan 26 01:49:20 2021 | q: 30/31 | q_time: 6.263991s | E: 70 | q_time/E: 0.089486s | shuffle time: 0.000253s
Tue Jan 26 01:49:26 2021 | q: 31/31 | q_time: 6.424674s | E: 71 | q_time/E: 0.090488s | shuffle time: 0.000249s
