q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.083501 1 0.083501 639938 639937 0
1 31 0.079866 1 0.079866 639938 639937 0
2 31 0.170520 2 0.085260 1280420 954673 325746
3 31 0.345589 4 0.086397 2580027 1608553 971473
4 31 0.529079 6 0.088180 3853815 2328785 1525029
5 31 0.728081 8 0.091010 5174428 3019365 2155062
6 31 0.916737 10 0.091674 6476281 3740174 2736106
7 31 1.187655 13 0.091358 8363388 4524574 3838813
8 31 1.521732 16 0.095108 10659662 5560144 5099517
9 31 1.758032 19 0.092528 12252184 6213288 6038895
10 31 2.048844 22 0.093129 14209146 7078963 7130182
11 31 2.400559 26 0.092329 16721018 7915582 8805435
12 31 2.776513 30 0.092550 19436951 8913997 10522953
13 31 3.178557 34 0.093487 22413880 9972054 12441825
14 31 3.385091 37 0.091489 23961558 10578659 13382898
15 31 3.736138 40 0.093403 26697711 11742386 14955324
16 31 4.452877 44 0.101202 32360092 13899915 18460176
17 31 5.889594 46 0.128035 33081746 14394298 18687447
18 31 6.570236 49 0.134086 40667670 17564991 23102678
19 31 4.920119 50 0.098402 35834973 15618622 20216350
20 31 6.112860 52 0.117555 45062853 19670562 25392290
21 31 5.076542 53 0.095784 37252806 16343151 20909654
22 31 5.477857 55 0.099597 40518356 17662133 22856222
23 31 5.594477 57 0.098149 39918690 17259896 22658793
24 31 5.439559 60 0.090659 40368754 17036369 23332384
25 31 5.915573 61 0.096977 42685674 18322798 24362875
26 31 5.827525 62 0.093992 42408075 18176447 24231627
27 31 5.875275 64 0.091801 42980039 18343540 24636498
28 31 11.178207 67 0.166839 84889893 35318556 49571336
29 31 9.181752 69 0.133069 45864747 18639981 27224765
30 31 6.736556 70 0.096237 50240066 20435535 29804530
31 31 6.584124 71 0.092734 49708271 20048304 29659966
125.68
