run: 868 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Tue Jan 26 02:35:59 2021 | q: 0/31 | q_time: 0.083083s | E: 1 | q_time/E: 0.083083s | shuffle time: 0.000000s
Tue Jan 26 02:35:59 2021 | q: 1/31 | q_time: 0.079677s | E: 1 | q_time/E: 0.079677s | shuffle time: 0.000220s
Tue Jan 26 02:35:59 2021 | q: 2/31 | q_time: 0.177888s | E: 2 | q_time/E: 0.088944s | shuffle time: 0.000246s
Tue Jan 26 02:35:59 2021 | q: 3/31 | q_time: 0.343835s | E: 4 | q_time/E: 0.085959s | shuffle time: 0.000241s
Tue Jan 26 02:36:00 2021 | q: 4/31 | q_time: 0.528520s | E: 6 | q_time/E: 0.088087s | shuffle time: 0.000250s
Tue Jan 26 02:36:00 2021 | q: 5/31 | q_time: 0.720480s | E: 8 | q_time/E: 0.090060s | shuffle time: 0.000255s
Tue Jan 26 02:36:01 2021 | q: 6/31 | q_time: 0.921414s | E: 10 | q_time/E: 0.092141s | shuffle time: 0.000254s
Tue Jan 26 02:36:03 2021 | q: 7/31 | q_time: 1.208801s | E: 13 | q_time/E: 0.092985s | shuffle time: 0.000250s
Tue Jan 26 02:36:04 2021 | q: 8/31 | q_time: 1.534297s | E: 16 | q_time/E: 0.095894s | shuffle time: 0.000258s
Tue Jan 26 02:36:06 2021 | q: 9/31 | q_time: 1.835450s | E: 19 | q_time/E: 0.096603s | shuffle time: 0.000258s
Tue Jan 26 02:36:08 2021 | q: 10/31 | q_time: 2.075535s | E: 22 | q_time/E: 0.094342s | shuffle time: 0.000260s
Tue Jan 26 02:36:10 2021 | q: 11/31 | q_time: 2.438999s | E: 26 | q_time/E: 0.093808s | shuffle time: 0.000262s
Tue Jan 26 02:36:13 2021 | q: 12/31 | q_time: 2.797715s | E: 30 | q_time/E: 0.093257s | shuffle time: 0.000261s
Tue Jan 26 02:36:16 2021 | q: 13/31 | q_time: 3.169197s | E: 34 | q_time/E: 0.093212s | shuffle time: 0.000262s
Tue Jan 26 02:36:20 2021 | q: 14/31 | q_time: 3.467452s | E: 37 | q_time/E: 0.093715s | shuffle time: 0.000262s
Tue Jan 26 02:36:24 2021 | q: 15/31 | q_time: 3.711387s | E: 40 | q_time/E: 0.092785s | shuffle time: 0.000261s
Tue Jan 26 02:36:28 2021 | q: 16/31 | q_time: 4.349606s | E: 44 | q_time/E: 0.098855s | shuffle time: 0.000259s
Tue Jan 26 02:36:32 2021 | q: 17/31 | q_time: 4.182109s | E: 46 | q_time/E: 0.090915s | shuffle time: 0.000260s
Tue Jan 26 02:36:38 2021 | q: 18/31 | q_time: 5.690764s | E: 49 | q_time/E: 0.116138s | shuffle time: 0.000262s
Tue Jan 26 02:36:43 2021 | q: 19/31 | q_time: 4.957461s | E: 50 | q_time/E: 0.099149s | shuffle time: 0.000266s
Tue Jan 26 02:36:50 2021 | q: 20/31 | q_time: 6.949111s | E: 52 | q_time/E: 0.133637s | shuffle time: 0.000264s
Tue Jan 26 02:36:55 2021 | q: 21/31 | q_time: 4.913856s | E: 53 | q_time/E: 0.092714s | shuffle time: 0.000268s
Tue Jan 26 02:37:01 2021 | q: 22/31 | q_time: 6.015552s | E: 55 | q_time/E: 0.109374s | shuffle time: 0.000266s
Tue Jan 26 02:37:06 2021 | q: 23/31 | q_time: 5.317607s | E: 57 | q_time/E: 0.093291s | shuffle time: 0.000267s
Tue Jan 26 02:37:12 2021 | q: 24/31 | q_time: 6.232463s | E: 60 | q_time/E: 0.103874s | shuffle time: 0.000264s
Tue Jan 26 02:37:18 2021 | q: 25/31 | q_time: 5.998070s | E: 61 | q_time/E: 0.098329s | shuffle time: 0.000265s
Tue Jan 26 02:37:24 2021 | q: 26/31 | q_time: 5.867215s | E: 62 | q_time/E: 0.094632s | shuffle time: 0.000262s
Tue Jan 26 02:37:30 2021 | q: 27/31 | q_time: 6.082807s | E: 64 | q_time/E: 0.095044s | shuffle time: 0.000263s
Tue Jan 26 02:37:44 2021 | q: 28/31 | q_time: 14.313872s | E: 67 | q_time/E: 0.213640s | shuffle time: 0.000260s
Tue Jan 26 02:37:51 2021 | q: 29/31 | q_time: 6.353112s | E: 69 | q_time/E: 0.092074s | shuffle time: 0.000261s
Tue Jan 26 02:37:58 2021 | q: 30/31 | q_time: 6.799790s | E: 70 | q_time/E: 0.097140s | shuffle time: 0.000258s
Tue Jan 26 02:38:04 2021 | q: 31/31 | q_time: 6.283145s | E: 71 | q_time/E: 0.088495s | shuffle time: 0.000256s
