run: 370 | L: 4 | REP: 10000 | skip: 64 | Dim: 3 | LATTICE: Hex
Mon Jan 25 08:50:03 2021 | q: 0/31 | q_time: 0.084956s | E: 1 | q_time/E: 0.084956s | shuffle time: 0.000000s
Mon Jan 25 08:50:04 2021 | q: 1/31 | q_time: 0.080370s | E: 1 | q_time/E: 0.080370s | shuffle time: 0.000215s
Mon Jan 25 08:50:04 2021 | q: 2/31 | q_time: 0.170319s | E: 2 | q_time/E: 0.085159s | shuffle time: 0.000241s
Mon Jan 25 08:50:04 2021 | q: 3/31 | q_time: 0.350550s | E: 4 | q_time/E: 0.087637s | shuffle time: 0.000234s
Mon Jan 25 08:50:05 2021 | q: 4/31 | q_time: 0.532926s | E: 6 | q_time/E: 0.088821s | shuffle time: 0.000245s
Mon Jan 25 08:50:05 2021 | q: 5/31 | q_time: 0.734167s | E: 8 | q_time/E: 0.091771s | shuffle time: 0.000248s
Mon Jan 25 08:50:06 2021 | q: 6/31 | q_time: 0.920310s | E: 10 | q_time/E: 0.092031s | shuffle time: 0.000248s
Mon Jan 25 08:50:08 2021 | q: 7/31 | q_time: 1.265606s | E: 13 | q_time/E: 0.097354s | shuffle time: 0.000244s
Mon Jan 25 08:50:09 2021 | q: 8/31 | q_time: 1.680817s | E: 16 | q_time/E: 0.105051s | shuffle time: 0.000251s
Mon Jan 25 08:50:11 2021 | q: 9/31 | q_time: 1.801182s | E: 19 | q_time/E: 0.094799s | shuffle time: 0.000254s
Mon Jan 25 08:50:13 2021 | q: 10/31 | q_time: 2.108750s | E: 22 | q_time/E: 0.095852s | shuffle time: 0.000254s
Mon Jan 25 08:50:16 2021 | q: 11/31 | q_time: 2.515767s | E: 26 | q_time/E: 0.096760s | shuffle time: 0.000255s
Mon Jan 25 08:50:18 2021 | q: 12/31 | q_time: 2.852359s | E: 30 | q_time/E: 0.095079s | shuffle time: 0.000258s
Mon Jan 25 08:50:22 2021 | q: 13/31 | q_time: 3.208926s | E: 34 | q_time/E: 0.094380s | shuffle time: 0.000257s
Mon Jan 25 08:50:25 2021 | q: 14/31 | q_time: 3.436363s | E: 37 | q_time/E: 0.092875s | shuffle time: 0.000256s
Mon Jan 25 08:50:33 2021 | q: 15/31 | q_time: 7.673435s | E: 40 | q_time/E: 0.191836s | shuffle time: 0.000257s
Mon Jan 25 08:50:38 2021 | q: 16/31 | q_time: 5.027659s | E: 44 | q_time/E: 0.114265s | shuffle time: 0.000281s
Mon Jan 25 08:50:42 2021 | q: 17/31 | q_time: 4.220191s | E: 46 | q_time/E: 0.091743s | shuffle time: 0.000278s
Mon Jan 25 08:50:48 2021 | q: 18/31 | q_time: 5.867862s | E: 49 | q_time/E: 0.119752s | shuffle time: 0.000257s
Mon Jan 25 08:50:53 2021 | q: 19/31 | q_time: 4.701317s | E: 50 | q_time/E: 0.094026s | shuffle time: 0.000257s
Mon Jan 25 08:50:59 2021 | q: 20/31 | q_time: 6.859229s | E: 52 | q_time/E: 0.131908s | shuffle time: 0.000260s
Mon Jan 25 08:51:04 2021 | q: 21/31 | q_time: 4.872938s | E: 53 | q_time/E: 0.091942s | shuffle time: 0.000258s
Mon Jan 25 08:51:11 2021 | q: 22/31 | q_time: 6.676008s | E: 55 | q_time/E: 0.121382s | shuffle time: 0.000260s
Mon Jan 25 08:51:16 2021 | q: 23/31 | q_time: 5.340224s | E: 57 | q_time/E: 0.093688s | shuffle time: 0.000258s
Mon Jan 25 08:51:22 2021 | q: 24/31 | q_time: 5.861449s | E: 60 | q_time/E: 0.097691s | shuffle time: 0.000259s
Mon Jan 25 08:51:28 2021 | q: 25/31 | q_time: 5.932489s | E: 61 | q_time/E: 0.097254s | shuffle time: 0.000258s
Mon Jan 25 08:51:34 2021 | q: 26/31 | q_time: 6.112939s | E: 62 | q_time/E: 0.098596s | shuffle time: 0.000257s
Mon Jan 25 08:51:40 2021 | q: 27/31 | q_time: 5.923692s | E: 64 | q_time/E: 0.092558s | shuffle time: 0.000255s
Mon Jan 25 08:51:55 2021 | q: 28/31 | q_time: 15.163841s | E: 67 | q_time/E: 0.226326s | shuffle time: 0.000252s
Mon Jan 25 08:52:02 2021 | q: 29/31 | q_time: 6.701121s | E: 69 | q_time/E: 0.097118s | shuffle time: 0.000253s
Mon Jan 25 08:52:08 2021 | q: 30/31 | q_time: 6.198578s | E: 70 | q_time/E: 0.088551s | shuffle time: 0.000253s
Mon Jan 25 08:52:15 2021 | q: 31/31 | q_time: 6.591863s | E: 71 | q_time/E: 0.092843s | shuffle time: 0.000250s
