q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.083814 1 0.083814 639938 639937 0
1 31 0.080264 1 0.080264 639938 639937 0
2 31 0.169721 2 0.084860 1280686 958562 322123
3 31 0.344231 4 0.086058 2562165 1590678 971486
4 31 0.531136 6 0.088523 3860960 2317917 1543042
5 31 0.724906 8 0.090613 5148840 2995299 2153540
6 31 0.916497 10 0.091650 6453036 3704658 2748377
7 31 1.197380 13 0.092106 8410227 4522396 3887830
8 31 1.475719 16 0.092232 10311831 5345986 4965844
9 31 1.801957 19 0.094840 12543468 6380511 6162956
10 31 2.063783 22 0.093808 14306995 7117489 7189505
11 31 2.450970 26 0.094268 17075333 8097557 8977775
12 31 2.914450 30 0.097148 20450928 9436792 11014135
13 31 3.236779 34 0.095199 22822251 10177720 12644530
14 31 3.494980 37 0.094459 24747163 10930723 13816439
15 31 6.224126 40 0.155603 26470500 11640044 14830455
16 31 4.468292 44 0.101552 29624781 12599041 17025739
17 31 4.536820 46 0.098627 32467104 14065326 18401777
18 31 5.241010 49 0.106959 38266541 16349108 21917432
19 31 4.595188 50 0.091904 33132641 14361424 18771216
20 31 6.526599 52 0.125512 48425711 21069148 27356562
21 31 5.025271 53 0.094816 36698791 16003082 20695708
22 31 5.720674 55 0.104012 42248276 18359357 23888918
23 31 5.343249 57 0.093741 39373173 17023434 22349738
24 31 5.794845 60 0.096581 43169777 18222094 24947682
25 31 6.288013 61 0.103082 45365306 19393943 25971362
26 31 5.580001 62 0.090000 40327900 17179631 23148268
27 31 5.755704 64 0.089933 41885812 17764580 24121231
28 31 18.567105 67 0.277121 84069328 34871111 49198216
29 31 6.472290 69 0.093801 47805984 19597858 28208125
30 31 7.679608 70 0.109709 48336651 19725522 28611128
31 31 6.351311 71 0.089455 47670478 19153922 28516555
131.657
