q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.083553 1 0.083553 639938 639937 0
1 31 0.080072 1 0.080072 639938 639937 0
2 31 0.169194 2 0.084597 1280705 957117 323587
3 31 0.343897 4 0.085974 2564453 1591650 972802
4 31 0.535430 6 0.089238 3904479 2362606 1541872
5 31 0.730831 8 0.091354 5195318 3023520 2171797
6 31 0.914752 10 0.091475 6433394 3702408 2730985
7 31 1.188383 13 0.091414 8334304 4506198 3828105
8 31 1.476172 16 0.092261 10317953 5349118 4968834
9 31 1.784978 19 0.093946 12411522 6295155 6116366
10 31 2.047148 22 0.093052 14173873 7053466 7120406
11 31 2.454938 26 0.094421 17116942 8137981 8978960
12 31 2.797514 30 0.093250 19566946 8968997 10597948
13 31 3.195438 34 0.093983 22483640 10067992 12415647
14 31 3.427014 37 0.092622 24246587 10751236 13495350
15 31 3.854339 40 0.096358 27510558 12101145 15409412
16 31 4.447175 44 0.101072 32196668 13671795 18524872
17 31 4.384409 46 0.095313 31389052 13667024 17722027
18 31 5.684381 49 0.116008 41863330 17906611 23956718
19 31 4.719835 50 0.094397 34252819 14871218 19381600
20 31 6.005307 52 0.115487 44524858 19320864 25203993
21 31 4.998891 53 0.094319 36615260 16020066 20595193
22 31 6.369566 55 0.115810 47528359 20792608 26735750
23 31 5.217972 57 0.091543 38604714 16667204 21937509
24 31 5.760267 60 0.096004 43166656 18208075 24958580
25 31 5.876285 61 0.096333 42466045 18100642 24365402
26 31 5.621014 62 0.090662 40868182 17427410 23440771
27 31 18.342344 64 0.286599 42000761 17774879 24225881
28 31 10.527542 67 0.157127 78458202 32498959 45959242
29 31 6.302263 69 0.091337 46546595 19152891 27393703
30 31 6.437665 70 0.091967 48005977 19538620 28467356
31 31 6.833937 71 0.096253 51752285 20721626 31030658
132.613
