q q_max q_time hits q_time/hits k 
1 31 0.657252 1 0.657252 6399937
2 31 1.327922 2 0.663961 12808833
3 31 2.016439 3 0.672146 19278081
4 31 3.462869 5 0.692574 32125377
5 31 4.282792 6 0.713799 38642753
6 31 5.798973 8 0.724872 51481217
7 31 6.745198 9 0.749466 58502913
8 31 8.355351 11 0.759577 71152705
9 31 10.051305 13 0.773177 83894465
10 31 11.105441 14 0.793246 90529345
11 31 12.858335 16 0.803646 103149697
12 31 14.650089 18 0.813894 116327233
13 31 15.818611 19 0.832558 124122625
14 31 17.585714 21 0.837415 136430273
15 31 19.335718 23 0.840683 148744577
16 31 21.248974 25 0.849959 162648513
17 31 22.456547 26 0.863713 168974465
18 31 24.327768 28 0.868849 180570241
19 31 26.286101 30 0.876203 193404225
20 31 28.461729 32 0.889429 207648257
21 31 30.326876 34 0.891967 219354881
22 31 32.572272 36 0.904785 234274497
23 31 34.303221 38 0.902716 245341249
24 31 36.325913 40 0.908148 260875649
25 31 38.262228 42 0.911005 272060161
26 31 40.334457 44 0.916692 284316097
27 31 41.971461 46 0.912423 296898689
28 31 46.923876 48 0.977581 324427009
29 31 46.060584 50 0.921212 323531393
30 31 47.928311 52 0.921698 337630529
31 31 50.728903 53 0.957149 349593153
702.571
