q q_max q_time hits q_time/hits k 
1 31 0.635397 1 0.635397 6399937
2 31 1.341358 2 0.670679 12825537
3 31 2.024656 3 0.674885 19312257
4 31 3.503162 5 0.700632 32131521
5 31 4.307438 6 0.717906 38565761
6 31 5.856653 8 0.732082 51513089
7 31 6.739317 9 0.748813 58011841
8 31 8.365252 11 0.760477 70819521
9 31 10.305950 13 0.792765 85886081
10 31 10.990725 14 0.785052 90175041
11 31 12.787707 16 0.799232 103164289
12 31 14.615428 18 0.811968 116447809
13 31 15.625793 19 0.822410 122936385
14 31 17.623257 21 0.839203 137630849
15 31 19.437164 23 0.845094 150311105
16 31 21.940502 25 0.877620 168614017
17 31 22.522204 26 0.866239 168557249
18 31 24.238729 28 0.865669 180441473
19 31 26.222299 30 0.874077 193207937
20 31 29.001773 32 0.906305 213955265
21 31 30.638486 34 0.901132 223700801
22 31 32.463298 36 0.901758 235864065
23 31 34.584618 38 0.910122 246620673
24 31 35.936750 40 0.898419 258710465
25 31 41.168027 42 0.980191 282146433
26 31 41.036059 44 0.932638 284115073
27 31 42.922325 46 0.933094 298033985
28 31 44.422435 48 0.925467 310200385
29 31 49.506536 50 0.990131 331088065
30 31 53.028410 52 1.019777 337494849
31 31 49.561323 53 0.935119 342052225
713.353
