q q_max q_time hits q_time/hits k 
1 31 0.640421 1 0.640421 6399937
2 31 1.323373 2 0.661686 12801409
3 31 2.014442 3 0.671481 19310785
4 31 3.466786 5 0.693357 32166401
5 31 4.301669 6 0.716945 38608577
6 31 5.845127 8 0.730641 51636737
7 31 6.635807 9 0.737312 58043009
8 31 8.273180 11 0.752107 70744193
9 31 10.072215 13 0.774786 84618625
10 31 10.879876 14 0.777134 90048129
11 31 12.646832 16 0.790427 102983617
12 31 14.466867 18 0.803715 116246465
13 31 15.410034 19 0.811054 122719809
14 31 17.629214 21 0.839486 139415489
15 31 18.981896 23 0.825300 147956737
16 31 20.923005 25 0.836920 161952065
17 31 22.697056 26 0.872964 172130817
18 31 24.125628 28 0.861630 181466049
19 31 26.500294 30 0.883343 199028289
20 31 27.944816 32 0.873275 206894337
21 31 30.661947 34 0.901822 226608961
22 31 32.727549 36 0.909099 240809857
23 31 34.069464 38 0.896565 248991553
24 31 35.395000 40 0.884875 258096641
25 31 38.733165 42 0.922218 273930113
26 31 39.915663 44 0.907174 284832193
27 31 42.889274 46 0.932376 298830401
28 31 45.361652 48 0.945034 312278401
29 31 46.349477 50 0.926990 323758529
30 31 50.354786 52 0.968361 345261249
31 31 51.369797 53 0.969241 355340033
702.607
