q q_max q_time hits q_time/hits k 
1 31 0.635986 1 0.635986 6399937
2 31 1.309824 2 0.654912 12818241
3 31 2.006696 3 0.668899 19271745
4 31 3.477616 5 0.695523 32161985
5 31 4.269169 6 0.711528 38586049
6 31 5.798916 8 0.724865 51753473
7 31 6.631607 9 0.736845 57872065
8 31 8.227340 11 0.747940 70677569
9 31 10.029411 13 0.771493 84169473
10 31 10.927831 14 0.780559 90241473
11 31 12.766308 16 0.797894 103601921
12 31 14.447087 18 0.802616 115813121
13 31 15.597875 19 0.820941 123508481
14 31 17.602712 21 0.838224 137504193
15 31 19.383251 23 0.842750 149593601
16 31 21.341279 25 0.853651 163188801
17 31 22.667330 26 0.871820 170888001
18 31 24.419114 28 0.872111 180876993
19 31 26.618773 30 0.887292 195819585
20 31 28.720958 32 0.897530 208830977
21 31 30.439203 34 0.895271 219884225
22 31 35.481578 36 0.985599 254719169
23 31 34.697981 38 0.913105 245820609
24 31 37.144635 40 0.928616 261248897
25 31 39.510289 42 0.940721 275011649
26 31 41.551355 44 0.944349 284577537
27 31 46.220484 46 1.004793 306863937
28 31 46.059612 48 0.959575 312481665
29 31 49.989339 50 0.999787 328435137
30 31 50.630073 52 0.973655 337051073
31 31 53.162150 53 1.003059 348941377
721.766
