q q_max q_time hits q_time/hits k 
1 31 0.641069 1 0.641069 6399937
2 31 1.337107 2 0.668554 12814849
3 31 2.017362 3 0.672454 19338817
4 31 3.442092 5 0.688418 32117505
5 31 4.264903 6 0.710817 38651649
6 31 5.819059 8 0.727382 51980289
7 31 6.644760 9 0.738307 57886529
8 31 8.265263 11 0.751388 70598209
9 31 10.002204 13 0.769400 83724481
10 31 11.017091 14 0.786935 90993729
11 31 12.666547 16 0.791659 103100033
12 31 14.436765 18 0.802042 115995201
13 31 15.424357 19 0.811808 122464257
14 31 17.329998 21 0.825238 136141121
15 31 19.468367 23 0.846451 151883329
16 31 21.025126 25 0.841005 162048833
17 31 22.231059 26 0.855041 168956161
18 31 24.245401 28 0.865907 181925889
19 31 26.146449 30 0.871548 195055681
20 31 27.999422 32 0.874982 206742209
21 31 29.873072 34 0.878620 219316993
22 31 32.793854 36 0.910940 240830465
23 31 33.935458 38 0.893038 244952513
24 31 37.176148 40 0.929404 273304641
25 31 41.123003 42 0.979119 284793857
26 31 39.926006 44 0.907409 285855873
27 31 42.725556 46 0.928816 302280129
28 31 44.383890 48 0.924664 313829121
29 31 46.729976 50 0.934600 322893825
30 31 51.706454 52 0.994355 354464513
31 31 48.735224 53 0.919533 342328129
703.533
