q q_max q_time hits q_time/hits k 
1 31 0.629686 1 0.629686 6399937
2 31 1.297139 2 0.648570 12851585
3 31 2.019728 3 0.673243 19245825
4 31 3.493802 5 0.698760 32192129
5 31 4.300335 6 0.716722 38569985
6 31 5.813632 8 0.726704 51521665
7 31 6.674308 9 0.741590 57900929
8 31 8.306509 11 0.755137 70692481
9 31 10.040053 13 0.772312 83782337
10 31 11.009776 14 0.786413 90401281
11 31 12.779320 16 0.798708 103179585
12 31 14.639323 18 0.813296 116833025
13 31 15.648978 19 0.823630 123667905
14 31 17.768713 21 0.846129 139006593
15 31 19.650767 23 0.854381 152465665
16 31 21.266472 25 0.850659 163109377
17 31 22.385239 26 0.860971 168617729
18 31 24.152361 28 0.862584 180587329
19 31 26.339245 30 0.877975 195618561
20 31 28.399986 32 0.887500 210098625
21 31 30.220109 34 0.888827 222210881
22 31 32.154101 36 0.893169 233394177
23 31 33.921941 38 0.892683 244892417
24 31 36.612937 40 0.915323 267143617
25 31 38.827163 42 0.924456 272717633
26 31 41.851138 44 0.951162 286749889
27 31 42.351985 46 0.920695 298324801
28 31 44.600598 48 0.929179 310943617
29 31 46.846218 50 0.936924 324789633
30 31 49.866012 52 0.958962 337497473
31 31 50.448840 53 0.951865 342793985
704.317
