q q_max q_time hits q_time/hits k 
1 31 0.641660 1 0.641660 6399937
2 31 1.303417 2 0.651709 12813569
3 31 2.008682 3 0.669561 19270017
4 31 3.478976 5 0.695795 32127489
5 31 4.338192 6 0.723032 38769921
6 31 5.841562 8 0.730195 51409857
7 31 6.680519 9 0.742280 58167169
8 31 8.324798 11 0.756800 70898817
9 31 10.024670 13 0.771128 83827777
10 31 11.006683 14 0.786192 90327041
11 31 12.676856 16 0.792303 102944385
12 31 14.784332 18 0.821352 118753601
13 31 15.742973 19 0.828578 123710401
14 31 17.333143 21 0.825388 135986817
15 31 19.157184 23 0.832921 148756161
16 31 20.942757 25 0.837710 161346369
17 31 22.070301 26 0.848858 167372353
18 31 24.203732 28 0.864419 180861057
19 31 26.355959 30 0.878532 196643841
20 31 28.153649 32 0.879802 208070465
21 31 29.874084 34 0.878650 219981249
22 31 31.998988 36 0.888861 233338817
23 31 34.150868 38 0.898707 249518401
24 31 35.512582 40 0.887815 259417345
25 31 37.724318 42 0.898198 271045377
26 31 41.160427 44 0.935464 289118529
27 31 42.628597 46 0.926709 297163585
28 31 44.286029 48 0.922626 311633601
29 31 47.207096 50 0.944142 327005441
30 31 48.779177 52 0.938061 335740673
31 31 51.722243 53 0.975891 355495169
700.115
