q q_max q_time hits q_time/hits k accept_counter reject_counter
0 31 0.008507 1 0.008507 639254 639243 0 1
1 31 0.008379 1 0.008379 639254 639243 0 1
2 31 0.016696 2 0.008348 1284490 903829 380650 0
3 31 0.025244 3 0.008415 1934203 1269174 665018 0
4 31 0.041427 5 0.008285 3257331 1802775 1454545 0
5 31 0.054701 6 0.009117 3924545 2300310 1624224 0
6 31 0.074377 8 0.009297 5351745 2936418 2415316 0
7 31 0.082458 9 0.009162 5951738 3391939 2559788 0
8 31 0.102000 11 0.009273 7376058 4036016 3340031 0
9 31 0.134636 13 0.010357 9061727 4772960 4288756 0
10 31 0.146264 14 0.010447 9516255 5174691 4341553 0
11 31 0.159557 16 0.009972 10834754 5728492 5106251 0
12 31 0.166316 18 0.009240 12082954 6176252 5906691 0
13 31 0.175906 19 0.009258 12811297 6806120 6005166 0
14 31 0.218546 21 0.010407 14614892 7582675 7032206 0
15 31 0.263511 23 0.011457 16815981 8612076 8203894 0
16 31 0.340707 25 0.013628 20668117 10480530 10187576 0
17 31 0.251268 26 0.009664 17940803 9202398 8738394 0
18 31 0.278547 28 0.009948 19299840 9667085 9632744 0
19 31 0.443567 30 0.014786 24142132 12087466 12054655 0
20 31 0.440495 32 0.013765 24001482 11714362 12287109 0
21 31 0.405084 34 0.011914 26698794 12917925 13780858 0
22 31 0.548177 36 0.015227 30000336 14306448 15693877 0
23 31 0.545908 38 0.014366 32146803 15022207 17124585 0
24 31 0.496888 40 0.012422 31500781 14352954 17147816 0
25 31 0.522623 42 0.012443 35530360 16142404 19387945 0
26 31 0.529856 44 0.012042 34604161 15317749 19286401 0
27 31 0.671908 46 0.014607 37359154 16295893 21063250 0
28 31 0.571756 48 0.011912 37244931 15751127 21493793 0
29 31 0.608434 50 0.012169 37500411 15341490 22158910 0
30 31 0.584995 52 0.011250 40877460 16380063 24497386 0
31 31 0.740268 53 0.013967 44079118 17329108 26749999 0
9.67695
