run: 78 | L: 4 | f_final: 1+1E-7 | flatness: 70 | dim: 2D | lattice: SS
Fri Jun 18 15:09:08 2021 | f: 1+1E0.235094/1+1E-7 | sweeps: 10000 | flat time: 0.005364s
Fri Jun 18 15:09:08 2021 | f: 1+1E-0.187942/1+1E-7 | sweeps: 10000 | flat time: 0.005453s
Fri Jun 18 15:09:08 2021 | f: 1+1E-0.546643/1+1E-7 | sweeps: 10000 | flat time: 0.005700s
Fri Jun 18 15:09:08 2021 | f: 1+1E-0.875664/1+1E-7 | sweeps: 10000 | flat time: 0.005860s
Fri Jun 18 15:09:08 2021 | f: 1+1E-1.190478/1+1E-7 | sweeps: 10000 | flat time: 0.005904s
Fri Jun 18 15:09:08 2021 | f: 1+1E-1.498346/1+1E-7 | sweeps: 10000 | flat time: 0.005843s
Fri Jun 18 15:09:08 2021 | f: 1+1E-1.802783/1+1E-7 | sweeps: 10000 | flat time: 0.005832s
Fri Jun 18 15:09:08 2021 | f: 1+1E-2.105512/1+1E-7 | sweeps: 10000 | flat time: 0.005933s
Fri Jun 18 15:09:08 2021 | f: 1+1E-2.407391/1+1E-7 | sweeps: 10000 | flat time: 0.005872s
Fri Jun 18 15:09:08 2021 | f: 1+1E-2.708846/1+1E-7 | sweeps: 10000 | flat time: 0.006171s
Fri Jun 18 15:09:08 2021 | f: 1+1E-3.010088/1+1E-7 | sweeps: 10000 | flat time: 0.005977s
Fri Jun 18 15:09:08 2021 | f: 1+1E-3.311224/1+1E-7 | sweeps: 10000 | flat time: 0.005783s
Fri Jun 18 15:09:08 2021 | f: 1+1E-3.612307/1+1E-7 | sweeps: 10000 | flat time: 0.005865s
Fri Jun 18 15:09:08 2021 | f: 1+1E-3.913363/1+1E-7 | sweeps: 10000 | flat time: 0.005813s
Fri Jun 18 15:09:08 2021 | f: 1+1E-4.214407/1+1E-7 | sweeps: 10000 | flat time: 0.005812s
Fri Jun 18 15:09:08 2021 | f: 1+1E-4.515443/1+1E-7 | sweeps: 10000 | flat time: 0.005879s
Fri Jun 18 15:09:08 2021 | f: 1+1E-4.816477/1+1E-7 | sweeps: 10000 | flat time: 0.005788s
Fri Jun 18 15:09:08 2021 | f: 1+1E-5.117508/1+1E-7 | sweeps: 10000 | flat time: 0.005859s
Fri Jun 18 15:09:08 2021 | f: 1+1E-5.418539/1+1E-7 | sweeps: 10000 | flat time: 0.005910s
Fri Jun 18 15:09:08 2021 | f: 1+1E-5.719570/1+1E-7 | sweeps: 10000 | flat time: 0.005849s
Fri Jun 18 15:09:08 2021 | f: 1+1E-6.020600/1+1E-7 | sweeps: 10000 | flat time: 0.005850s
Fri Jun 18 15:09:08 2021 | f: 1+1E-6.321630/1+1E-7 | sweeps: 10000 | flat time: 0.005811s
Fri Jun 18 15:09:08 2021 | f: 1+1E-6.622660/1+1E-7 | sweeps: 10000 | flat time: 0.005867s
Fri Jun 18 15:09:08 2021 | f: 1+1E-6.923690/1+1E-7 | sweeps: 10000 | flat time: 0.005890s
