run: 31 | L: 4 | REP: 10000 | skip: 128 | workers: 27 (+1 root) | REP per worker 370 | Lattice BCC
Fri Feb 19 15:05:00 2021 | q: 44/63 | q_time: 48.307881s | E: 122 | q_time/E: 0.395966s | shuffle time: 0.000865s
Fri Feb 19 15:05:25 2021 | q: 45/63 | q_time: 25.224783s | E: 125 | q_time/E: 0.201798s | shuffle time: 0.000864s
Fri Feb 19 15:05:52 2021 | q: 46/63 | q_time: 27.249774s | E: 129 | q_time/E: 0.211239s | shuffle time: 0.000867s
Fri Feb 19 15:06:50 2021 | q: 47/63 | q_time: 57.723507s | E: 132 | q_time/E: 0.437299s | shuffle time: 0.000864s
Fri Feb 19 15:09:36 2021 | q: 48/63 | q_time: 166.126082s | E: 136 | q_time/E: 1.221515s | shuffle time: 0.000990s
Fri Feb 19 15:14:34 2021 | q: 49/63 | q_time: 297.721910s | E: 139 | q_time/E: 2.141884s | shuffle time: 0.000860s
Fri Feb 19 15:15:30 2021 | q: 50/63 | q_time: 56.679023s | E: 142 | q_time/E: 0.399148s | shuffle time: 0.000858s
Fri Feb 19 15:15:43 2021 | q: 51/63 | q_time: 12.714743s | E: 145 | q_time/E: 0.087688s | shuffle time: 0.000862s
Fri Feb 19 15:16:43 2021 | q: 52/63 | q_time: 59.788992s | E: 149 | q_time/E: 0.401268s | shuffle time: 0.000865s
Fri Feb 19 15:17:07 2021 | q: 53/63 | q_time: 24.014301s | E: 153 | q_time/E: 0.156956s | shuffle time: 0.000852s
Fri Feb 19 15:18:03 2021 | q: 54/63 | q_time: 56.600101s | E: 157 | q_time/E: 0.360510s | shuffle time: 0.000849s
Fri Feb 19 15:18:44 2021 | q: 55/63 | q_time: 40.535057s | E: 161 | q_time/E: 0.251771s | shuffle time: 0.000841s
Fri Feb 19 15:30:32 2021 | q: 56/63 | q_time: 707.915883s | E: 165 | q_time/E: 4.290399s | shuffle time: 0.000840s
Fri Feb 19 15:32:41 2021 | q: 57/63 | q_time: 129.465351s | E: 168 | q_time/E: 0.770627s | shuffle time: 0.000840s
Fri Feb 19 15:34:47 2021 | q: 58/63 | q_time: 126.134520s | E: 172 | q_time/E: 0.733340s | shuffle time: 0.000838s
Fri Feb 19 15:35:52 2021 | q: 59/63 | q_time: 64.817063s | E: 174 | q_time/E: 0.372512s | shuffle time: 0.000841s
Fri Feb 19 15:37:22 2021 | q: 60/63 | q_time: 89.343283s | E: 177 | q_time/E: 0.504764s | shuffle time: 0.000829s
Fri Feb 19 15:39:12 2021 | q: 61/63 | q_time: 110.840482s | E: 180 | q_time/E: 0.615780s | shuffle time: 0.000827s
Fri Feb 19 15:42:51 2021 | q: 62/63 | q_time: 218.977069s | E: 183 | q_time/E: 1.196596s | shuffle time: 0.000956s
Fri Feb 19 16:07:18 2021 | q: 63/63 | q_time: 1467.033542s | E: 185 | q_time/E: 7.929911s | shuffle time: 0.000814s
