run: 85 | L: 4 | REP: 10000 | skip: 128 | workers: 27 (+1 root) | REP per worker 370 | Lattice BCC
Sun Feb 21 14:01:13 2021 | q: 44/63 | q_time: 88.413214s | E: 122 | q_time/E: 0.724698s | shuffle time: 0.000869s
Sun Feb 21 14:01:31 2021 | q: 45/63 | q_time: 17.436413s | E: 125 | q_time/E: 0.139491s | shuffle time: 0.000868s
Sun Feb 21 14:01:49 2021 | q: 46/63 | q_time: 18.173325s | E: 129 | q_time/E: 0.140878s | shuffle time: 0.000867s
Sun Feb 21 14:02:18 2021 | q: 47/63 | q_time: 29.363976s | E: 132 | q_time/E: 0.222454s | shuffle time: 0.000868s
Sun Feb 21 14:03:54 2021 | q: 48/63 | q_time: 95.629502s | E: 136 | q_time/E: 0.703158s | shuffle time: 0.000868s
Sun Feb 21 14:08:12 2021 | q: 49/63 | q_time: 257.990562s | E: 139 | q_time/E: 1.856047s | shuffle time: 0.000868s
Sun Feb 21 14:09:12 2021 | q: 50/63 | q_time: 59.754159s | E: 142 | q_time/E: 0.420804s | shuffle time: 0.000875s
Sun Feb 21 14:09:27 2021 | q: 51/63 | q_time: 14.983808s | E: 145 | q_time/E: 0.103337s | shuffle time: 0.000864s
Sun Feb 21 14:09:44 2021 | q: 52/63 | q_time: 17.014973s | E: 149 | q_time/E: 0.114194s | shuffle time: 0.000863s
Sun Feb 21 14:10:30 2021 | q: 53/63 | q_time: 46.343650s | E: 153 | q_time/E: 0.302900s | shuffle time: 0.000862s
Sun Feb 21 14:11:01 2021 | q: 54/63 | q_time: 31.121483s | E: 157 | q_time/E: 0.198226s | shuffle time: 0.000861s
Sun Feb 21 14:11:25 2021 | q: 55/63 | q_time: 24.323709s | E: 161 | q_time/E: 0.151079s | shuffle time: 0.000854s
Sun Feb 21 14:13:16 2021 | q: 56/63 | q_time: 110.435742s | E: 165 | q_time/E: 0.669308s | shuffle time: 0.000866s
Sun Feb 21 14:14:55 2021 | q: 57/63 | q_time: 98.971848s | E: 168 | q_time/E: 0.589118s | shuffle time: 0.000867s
Sun Feb 21 14:16:36 2021 | q: 58/63 | q_time: 101.237802s | E: 172 | q_time/E: 0.588592s | shuffle time: 0.000865s
Sun Feb 21 14:17:11 2021 | q: 59/63 | q_time: 34.815598s | E: 174 | q_time/E: 0.200090s | shuffle time: 0.000994s
Sun Feb 21 14:18:39 2021 | q: 60/63 | q_time: 88.179268s | E: 177 | q_time/E: 0.498188s | shuffle time: 0.000859s
Sun Feb 21 14:20:33 2021 | q: 61/63 | q_time: 114.175228s | E: 180 | q_time/E: 0.634307s | shuffle time: 0.000856s
Sun Feb 21 14:23:00 2021 | q: 62/63 | q_time: 146.421566s | E: 183 | q_time/E: 0.800118s | shuffle time: 0.000853s
Sun Feb 21 14:25:18 2021 | q: 63/63 | q_time: 138.068472s | E: 185 | q_time/E: 0.746316s | shuffle time: 0.000839s
