q q_max q_time hits q_time/hits k accept_counter reject_counter
0 63 0.044322 1 0.044322 1275318 1275291 0 1
1 63 0.023442 1 0.023442 1275318 1275291 0 1
2 63 0.045788 2 0.022894 2564976 1814977 749972 0
3 63 0.067840 3 0.022613 3858040 2550513 1307500 0
4 63 0.118335 5 0.023667 6553506 3722977 2830502 0
5 63 0.166760 7 0.023823 9323546 5031253 4292266 0
6 63 0.211010 9 0.023446 11875510 6291581 5583902 0
7 63 0.281074 11 0.025552 14742388 7696278 7046083 0
8 63 0.440278 14 0.031448 20588938 10159758 10429153 0
9 63 0.440489 16 0.027531 22497545 11146860 11350658 0
10 63 0.505479 18 0.028082 24768409 12365024 12403358 0
11 63 0.595307 21 0.028348 29935421 14389775 15545619 0
12 63 0.667788 23 0.029034 32323532 15800593 16522912 0
13 63 0.781034 26 0.030040 39944119 19309328 20634764 0
14 63 1.638889 29 0.056513 62713796 30403022 32310747 0
15 63 1.920109 32 0.060003 76600945 37123494 39477424 0
16 63 6.974286 35 0.199265 347543615 169288469 178255119 0
17 63 2.576021 37 0.069622 117290875 57557438 59733410 0
18 63 2.404699 40 0.060117 117562031 57074223 60487781 0
19 63 1.678637 42 0.039968 73388362 35534259 37854076 0
20 63 2.098657 45 0.046637 115631537 56348276 59283234 0
21 63 8.291725 48 0.172744 405414634 198923912 206490695 0
22 63 8.264348 51 0.162046 364104138 177356368 186747743 0
23 63 6.643670 54 0.123031 317578920 154283702 163295191 0
24 63 4.875599 57 0.085537 256155251 123478294 132676930 0
25 63 2.810412 59 0.047634 150752081 73054843 77697211 0
26 63 2.883652 62 0.046511 146802726 71019975 75782724 0
27 63 2.766817 65 0.042566 124062384 59356470 64705887 0
28 63 4.544222 69 0.065858 207682746 99718457 107964262 0
29 63 6.665451 72 0.092576 370270460 177199930 193070503 0
30 63 11.509341 75 0.153458 595958372 285830314 310128031 0
31 63 9.678923 79 0.122518 469364661 222176032 247188602 0
32 63 4.790354 82 0.058419 224767278 106159823 118607428 0
33 63 9.360052 85 0.110118 532869317 251039557 281829733 0
34 63 11.002741 89 0.123626 485595056 228531771 257063258 0
35 63 6.881897 92 0.074803 320109249 149417856 170691366 0
36 63 18.319865 96 0.190832 606766853 282516744 324250082 0
37 63 34.904404 99 0.352570 1357832127 633005364 724826736 0
38 63 7.984414 102 0.078279 323244672 149039066 174205579 0
39 63 16.519002 105 0.157324 713303841 330873585 382430229 0
40 63 16.819361 109 0.154306 766594536 352675615 413918894 0
41 63 15.482692 112 0.138238 551596196 251829971 299766198 0
42 63 21.436323 115 0.186403 969907044 442339571 527567446 0
43 63 33.446515 119 0.281063 1629271547 735133776 894137744 0
44 63 20.407534 122 0.167275 951049006 425786403 525262576 0
45 63 33.406031 125 0.267248 1652848609 740251464 912597118 0
46 63 35.218917 129 0.273015 1191396966 529775422 661621517 0
47 63 38.073988 132 0.288439 1714602041 755167294 959434720 0
48 63 177.363865 136 1.304146 3982262515 1741424898 2240837590 0
49 63 274.583636 139 1.975422 12734923724 5521332896 7213590801 0
50 63 36.482359 142 0.256918 1299938853 558331795 741607031 0
51 63 10.205594 145 0.070383 480902025 204248007 276653991 0
52 63 46.779511 149 0.313956 2784331703 1173079409 1611252267 0
53 63 21.516117 153 0.140628 1079187341 448950858 630236456 0
54 63 17.631112 157 0.112300 733224244 301144505 432079712 0
55 63 22.783331 161 0.141511 1139883406 464147840 675735539 0
56 63 520.578174 165 3.155019 13508248401 5426655936 8081592438 0
57 63 83.052089 168 0.494358 3387754591 1339928938 2047825626 0
58 63 140.941189 172 0.819426 3696978453 1445146271 2251832155 0
59 63 31.207379 174 0.179353 1149971803 443864280 706107496 0
60 63 48.399756 177 0.273445 1702535985 651174309 1051361649 0
61 63 133.227779 180 0.740154 3267809966 1238169223 2029640716 0
62 63 182.654351 183 0.998111 3901663910 1457925354 2443738529 0
63 63 316.111030 185 1.708708 5117120229 1895879011 3221241191 0
2480.28
