q q_max q_time hits q_time/hits k 
1 31 66.831331 1 66.831331 639999937
2 31 141.981507 2 70.990753 1280019329
3 31 213.972810 3 71.324270 1920920641
4 31 366.680858 5 73.336172 3201502209
5 31 455.412001 6 75.902000 3840705665
6 31 616.917523 8 77.114690 5121722305
7 31 705.852696 9 78.428077 5763017857
8 31 878.773654 11 79.888514 7046484417
9 31 1061.649786 13 81.665368 8336413633
10 31 1160.060912 14 82.861494 8964775297
11 31 1344.556911 16 84.034807 10243275905
12 31 1532.426906 18 85.134828 11529034945
13 31 1631.570567 19 85.872135 12176843841
14 31 1824.481449 21 86.880069 13448473281
15 31 2016.944893 23 87.693256 14775211137
16 31 2216.892982 25 88.675719 16026268161
17 31 2359.628422 26 90.754939 16651707521
18 31 2556.813710 28 91.314775 17983965953
19 31 2758.258115 30 91.941937 19263591745
20 31 2961.613096 32 92.550409 20504724609
21 31 3175.693602 34 93.402753 21779117761
22 31 3379.583849 36 93.877329 23060497473
23 31 3582.277709 38 94.270466 24340023681
24 31 3726.046415 40 93.151160 25637513089
25 31 4197.053462 42 99.929844 27093159617
26 31 4233.797292 44 96.222666 28203959105
27 31 4485.632651 46 97.513753 29488080513
28 31 4767.581814 48 99.324621 30797923585
29 31 4865.299889 50 97.305998 32055814977
30 31 5159.935818 52 99.229535 33323727105
31 31 5228.616533 53 98.653142 33960210241
73672.8
