q q_max q_time hits q_time/hits k 
1 31 64.602337 1 64.602337 639999937
2 31 130.826313 2 65.413156 1280065025
3 31 208.330042 3 69.443347 1920489345
4 31 351.914971 5 70.382994 3201961601
5 31 431.421069 6 71.903511 3841997633
6 31 582.658055 8 72.832257 5124000001
7 31 676.728858 9 75.192095 5763601793
8 31 852.714604 11 77.519509 7049510529
9 31 1027.943825 13 79.072602 8339034817
10 31 1112.022347 14 79.430168 8976219457
11 31 1290.863828 16 80.678989 10257898177
12 31 1479.456891 18 82.192049 11530129153
13 31 1544.635474 19 81.296604 12172177665
14 31 1736.450303 21 82.688110 13459353729
15 31 1949.077904 23 84.742518 14731732161
16 31 2252.148607 25 90.085944 16088436865
17 31 2292.328371 26 88.166476 16704920193
18 31 2452.214838 28 87.579101 17936510401
19 31 2773.880048 30 92.462668 19223515393
20 31 3022.916538 32 94.466142 20498688961
21 31 3030.762879 34 89.140085 21786386369
22 31 3188.808474 36 88.578013 23145292225
23 31 3431.272655 38 90.296649 24360010113
24 31 3594.628591 40 89.865715 25671370497
25 31 3774.816834 42 89.876591 26942740865
26 31 4018.035388 44 91.318986 28203814593
27 31 4210.729849 46 91.537605 29488532161
28 31 4513.291213 48 94.026900 30758403905
29 31 4671.923418 50 93.438468 32047333633
30 31 4911.509630 52 94.452108 33314700737
31 31 4915.161615 53 92.738898 33983469057
70494.1
