q q_max q_time hits q_time/hits k 
1 31 62.349141 1 62.349141 639999937
2 31 130.984596 2 65.492298 1280211649
3 31 202.895404 3 67.631801 1921064257
4 31 348.371798 5 69.674360 3201467777
5 31 432.787812 6 72.131302 3842740865
6 31 585.706218 8 73.213277 5124935809
7 31 673.546790 9 74.838532 5764224129
8 31 835.205715 11 75.927792 7044876929
9 31 1022.711190 13 78.670092 8324216129
10 31 1101.013775 14 78.643841 8966580353
11 31 1279.037193 16 79.939825 10245810817
12 31 1461.337474 18 81.185415 11534137217
13 31 1567.188446 19 82.483602 12168300481
14 31 1726.643390 21 82.221114 13454971265
15 31 1907.592822 23 82.938818 14732797953
16 31 2085.446695 25 83.417868 16063801537
17 31 2217.723776 26 85.297068 16655209921
18 31 2442.386205 28 87.228079 17963776577
19 31 2619.373301 30 87.312443 19231712513
20 31 2793.605751 32 87.300180 20506671745
21 31 2981.943283 34 87.704214 21777476353
22 31 3181.138656 36 88.364963 23077499201
23 31 3376.146324 38 88.845956 24370770561
24 31 3610.530734 40 90.263268 25698099201
25 31 3726.722798 42 88.731495 26908327169
26 31 4040.618881 44 91.832247 28197431489
27 31 4222.100780 46 91.784800 29478067009
28 31 4526.199839 48 94.295830 30749272193
29 31 4942.656262 50 98.853125 32036237761
30 31 5131.032237 52 98.673697 33319167169
31 31 5239.543390 53 98.859309 33973343169
70474.5
