q q_max q_time hits q_time/hits k 
1 31 67.176738 1 67.176738 639999937
2 31 141.781589 2 70.890794 1280041665
3 31 212.516026 3 70.838675 1920080705
4 31 366.854846 5 73.370969 3201209537
5 31 454.755755 6 75.792626 3842613313
6 31 614.149134 8 76.768642 5123875905
7 31 700.618880 9 77.846542 5769934017
8 31 873.770809 11 79.433710 7054435585
9 31 1059.432037 13 81.494772 8328097729
10 31 1157.493699 14 82.678121 8970651905
11 31 1350.667754 16 84.416735 10247804033
12 31 1531.567863 18 85.087103 11527955201
13 31 1630.641250 19 85.823224 12169215553
14 31 1822.485181 21 86.785009 13452918273
15 31 2017.063654 23 87.698420 14733873409
16 31 2211.734711 25 88.469388 16075156737
17 31 2332.243855 26 89.701687 16650584449
18 31 2535.859863 28 90.566424 17951852033
19 31 2747.149572 30 91.571652 19366037121
20 31 2950.155718 32 92.192366 20618891777
21 31 3150.386693 34 92.658432 21783050369
22 31 3361.230629 36 93.367517 23069320961
23 31 3545.212070 38 93.295054 24379131329
24 31 3728.311910 40 93.207798 25615443713
25 31 3962.458136 42 94.344241 26921474689
26 31 4228.062312 44 96.092325 28185064513
27 31 4397.121521 46 95.589598 29469573953
28 31 4595.351800 48 95.736496 30751005441
29 31 4825.142036 50 96.502841 32051265025
30 31 5173.174703 52 99.484129 33370560513
31 31 5211.583708 53 98.331768 33981403393
72956.2
